Bin	Sample	total_SNVs	RPKM	SNVs/kbp	majority_allele_frequency	total_SAAVs	RPKM	SAAVs/kbp
NORP100	9	7436	38.98116383	5.737247047	0.680387378	1294	38.98116383	0.998385917
NORP139	1	11864	6.840065359	26.4566901	0.747827519	1222	6.840065359	2.725056921
NORP139	2	8180	6.899355932	18.24137939	0.809854733	853	6.899355932	1.902187851
NORP139	4	12325	9.775085271	27.48471894	0.809109776	1197	9.775085271	2.669306984
NORP139	5	27355	8.50295935	61.00158107	0.726948681	2615	8.50295935	5.83144341
NORP139	6	28615	6.973163399	63.81137789	0.759252003	2729	6.973163399	6.085663123
NORP147	1	166	36.41375471	0.194650397	0.712125307	14	36.41375471	0.016416299
NORP147	3	962	20.3341022	1.12803423	0.808736523	108	20.3341022	0.126640018
NORP147	4	716	12.35892188	0.839576413	0.818201457	79	12.35892188	0.092634828
NORP163	0	14351	20.85967706	22.94900559	0.764711268	3231	20.85967706	5.16676448
NORP163	1	12544	16.51374725	20.05939141	0.688519601	2851	16.51374725	4.559097967
NORP163	2	13583	48.66152629	21.72087958	0.610218039	3014	48.66152629	4.819754919
NORP163	7	20079	19.76504321	32.1087787	0.739065715	4668	19.76504321	7.464703371
NORP163	8	18751	20.94912692	29.98514415	0.722991975	4295	20.94912692	6.868230715
NORP167	1	14012	30.13296092	16.29817803	0.71767131	2419	30.13296092	2.813680606
NORP169	1	8574	6.533582215	9.912746099	0.686362828	1760	6.533582215	2.034806757
NORP169	2	6886	5.085065558	7.961181437	0.677520647	1398	5.085065558	1.616284004
NORP169	6	10836	8.378071503	12.52793524	0.664036536	2201	8.378071503	2.544664586
NORP246	1	55490	11.59696398	46.69979162	0.70245138	8279	11.59696398	6.967518018
NORP246	3	34595	8.336172687	29.11478268	0.74884312	5079	8.336172687	4.27443218
NORP246	4	20194	5.243712688	16.99505482	0.798461321	2957	5.243712688	2.488579633
NORP57	9	1873	38.25196147	1.193687033	0.825051461	124	38.25196147	0.079026798
NORP6	4	1219	88.6099594	1.340811372	0.753360924	298	88.6099594	0.327778334
NORP83	1	12354	16.62438824	16.44671592	0.831009363	1656	16.62438824	2.204610778
NORP83	3	16652	13.69309294	22.16858616	0.83460844	2130	13.69309294	2.835640675
NORP83	4	33310	11.26615923	44.34516004	0.624889431	4233	11.26615923	5.635336609
NORP83	6	33754	9.94790976	44.93625134	0.645948012	4279	9.94790976	5.696575797
