# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	mean_mistmaches	unfiltered_pairs	pass_min_read_ani	median_insert	unfiltered_reads	mean_mapq_score	pass_min_mapq	unfiltered_priority_reads	pass_max_insert	unfiltered_singletons	pass_min_insert	mean_PID	mean_insert_distance	mean_pair_length	filtered_singletons	filtered_priority_reads
all_scaffolds	573929	572719	1.8663109896868777	573929	573879.0	163.24826764286175	1203361	39.581819353961905	572815.0	0	573881.0	55503	573929.0	0.9914881763928896	171.395198709248	219.40411618858775	0	0
NORP83_1	1321	1321	1.7630582891748676	1321	1321.0	161.0	2805	39.38834216502649	1321.0	0	1321.0	163	1321.0	0.9919556671281444	167.13474640423922	219.4776684330053	0	0
NORP83_2	1142	1142	2.0744308231173383	1142	1142.0	164.5	2488	39.77758318739054	1142.0	0	1142.0	204	1142.0	0.9905523402447244	173.3204903677758	219.66725043782841	0	0
NORP83_4	1107	1105	1.6612466124661247	1107	1107.0	162.0	2315	41.324299909665754	1105.0	0	1107.0	101	1107.0	0.992441669310918	169.54019873532067	219.74525745257446	0	0
NORP83_3	3825	3824	1.8462745098039213	3825	3825.0	165.0	7854	41.09333333333333	3824.0	0	3825.0	204	3825.0	0.9915796936251474	172.72	219.0078431372549	0	0
NORP83_6	1066	1066	2.401500938086304	1066	1066.0	161.0	2348	40.58536585365854	1066.0	0	1066.0	216	1066.0	0.9889857075466794	168.1003752345216	218.35553470919328	0	0
NORP83_10	2200	2199	1.7918181818181818	2200	2200.0	163.5	4511	41.59227272727273	2199.0	0	2200.0	111	2200.0	0.9918274363820766	171.60954545454547	219.08227272727277	0	0
NORP83_8	1141	1141	0.9737072743207712	1141	1141.0	160.0	2362	35.53900087642419	1141.0	0	1141.0	80	1141.0	0.9955826397954778	167.99386503067484	219.06748466257667	0	0
NORP83_14	449	449	4.002227171492205	449	449.0	158.0	1178	38.011135857461035	449.0	0	449.0	280	449.0	0.981730313415135	167.64587973273942	219.40089086859692	0	0
NORP83_7	4670	4565	1.841970021413276	4670	4670.0	164.0	9602	36.79550321199144	4566.0	0	4669.0	262	4670.0	0.991637595758251	172.2164882226981	219.60235546038544	0	0
NORP83_16	902	902	2.352549889135255	902	902.0	166.0	1968	40.257206208425714	902.0	0	902.0	164	902.0	0.989255008434756	170.53658536585363	219.16740576496673	0	0
NORP83_11	2821	2820	1.914923785891528	2821	2821.0	163.0	5800	40.435306628855024	2820.0	0	2821.0	158	2821.0	0.9912642291545776	171.27720666430343	219.18149592343138	0	0
NORP83_13	1170	1167	2.0991452991452992	1170	1170.0	161.0	2420	41.23760683760685	1168.0	0	1169.0	80	1170.0	0.990445916003011	171.92905982905984	220.23931623931625	0	0
NORP83_18	813	810	2.3382533825338254	813	813.0	162.0	1744	34.0430504305043	810.0	0	813.0	118	813.0	0.9893074343377698	172.08118081180808	219.06273062730628	0	0
NORP83_12	1144	1144	2.194055944055944	1144	1144.0	163.0	2414	41.29458041958042	1144.0	0	1144.0	126	1144.0	0.9900150945738764	173.1765734265734	219.8181818181818	0	0
NORP83_15	1699	1699	1.303708063566804	1699	1699.0	163.0	3454	39.54149499705709	1699.0	0	1699.0	56	1699.0	0.9940506801032888	171.77928193054737	219.86639199529134	0	0
NORP83_21	775	774	2.305806451612903	775	775.0	159.0	1651	32.72129032258064	774.0	0	775.0	101	775.0	0.9895096616345006	170.3483870967742	218.94838709677413	0	0
NORP83_9	3484	3482	1.5973019517795637	3484	3484.0	165.0	7203	38.20034443168772	3482.0	0	3484.0	235	3484.0	0.9927360620426277	172.7939150401837	219.71670493685417	0	0
NORP83_17	1326	1325	2.450226244343892	1326	1326.0	165.0	2858	40.83182503770739	1326.0	0	1325.0	206	1326.0	0.988845430115868	170.815987933635	219.63725490196083	0	0
NORP83_22	1076	1075	1.822490706319703	1076	1076.0	164.0	2214	40.8364312267658	1075.0	0	1076.0	62	1076.0	0.9917112376331998	171.30669144981414	218.97118959107812	0	0
NORP83_5	4370	4368	1.1295194508009154	4370	4370.0	167.0	8996	41.1675057208238	4369.0	0	4369.0	256	4370.0	0.9948678835602222	176.35400457665904	219.9338672768879	0	0
NORP83_27	1000	1000	2.004	1000	1000.0	161.0	2084	40.879	1000.0	0	1000.0	84	1000.0	0.9908774485613062	173.41	219.75099999999998	0	0
NORP83_23	1331	1330	0.6574004507888805	1331	1331.0	163.0	2709	41.968444778362134	1331.0	0	1330.0	47	1331.0	0.9970034093401046	170.80240420736288	220.01126972201354	0	0
NORP83_25	1220	1219	2.169672131147541	1220	1220.0	163.0	2573	41.00655737704919	1219.0	0	1220.0	133	1220.0	0.9900925782669784	170.46311475409837	218.6188524590164	0	0
NORP83_30	1127	1122	2.4702750665483584	1127	1127.0	164.0	2408	39.78260869565217	1122.0	0	1127.0	154	1127.0	0.9887562728005292	172.7675244010648	219.888198757764	0	0
NORP83_34	904	901	1.6991150442477876	904	904.0	164.0	1872	41.080752212389385	901.0	0	904.0	64	904.0	0.9922622087265904	171.40707964601768	219.53761061946904	0	0
NORP83_33	729	729	1.9410150891632372	729	729.0	168.0	1580	41.36899862825789	729.0	0	729.0	122	729.0	0.9911967318834736	172.94238683127568	219.6310013717421	0	0
NORP83_20	2450	2448	1.9587755102040816	2450	2450.0	165.0	5075	34.73714285714286	2449.0	0	2449.0	175	2450.0	0.9910092267064168	172.70489795918368	218.54204081632653	0	0
NORP83_24	1732	1728	2.0750577367205545	1732	1732.0	164.0	3699	38.825635103926096	1728.0	0	1732.0	235	1732.0	0.9904811883421324	170.45150115473442	218.63856812933025	0	0
NORP83_37	799	797	3.1101376720901133	799	799.0	161.0	1684	38.80851063829788	798.0	0	798.0	86	799.0	0.9858685066199911	172.49561952440553	219.6232790988736	0	0
NORP83_28	1214	1210	2.085667215815486	1214	1214.0	157.0	2584	36.78418451400329	1210.0	0	1214.0	156	1214.0	0.9905525163817872	167.56013179571664	220.25453047775943	0	0
NORP83_32	2191	2156	1.0073026015518027	2191	2191.0	161.0	4450	34.88589685075308	2156.0	0	2191.0	68	2191.0	0.9954157173848474	171.18758557736194	219.3263350068462	0	0
NORP83_26	2754	2752	2.0766158315177923	2754	2753.0	164.0	5703	40.09876543209877	2753.0	0	2754.0	195	2754.0	0.9905395201926318	172.4680464778504	219.70261437908496	0	0
NORP83_36	1414	1409	2.060820367751061	1414	1414.0	159.0	2907	40.84794908062236	1409.0	0	1414.0	79	1414.0	0.9906279010456089	170.4236209335219	219.96534653465343	0	0
NORP83_35	746	746	2.24798927613941	746	746.0	167.0	1634	41.0402144772118	746.0	0	746.0	142	746.0	0.9895866275905829	173.8525469168901	217.17426273458446	0	0
NORP83_29	1948	1948	2.3295687885010268	1948	1948.0	164.0	4095	38.909137577002056	1948.0	0	1948.0	199	1948.0	0.9893643596736504	172.00102669404518	218.7268993839836	0	0
NORP83_44	742	741	1.247978436657682	742	742.0	160.0	1606	39.53908355795149	741.0	0	742.0	122	742.0	0.9942851445996552	168.34501347708894	219.26415094339626	0	0
NORP83_42	749	749	2.431241655540721	749	749.0	165.0	1598	41.10547396528705	749.0	0	749.0	100	749.0	0.988958656591894	173.75033377837116	219.87583444592792	0	0
NORP83_45	697	687	2.629842180774749	697	697.0	157.0	1515	29.10329985652797	687.0	0	697.0	121	697.0	0.9879587755597188	165.58106169296988	218.92252510760403	0	0
NORP83_38	826	826	2.6646489104116218	826	826.0	160.0	1828	39.65859564164649	826.0	0	826.0	176	826.0	0.987770403790662	164.55690072639226	218.63559322033902	0	0
NORP83_19	3832	3829	1.9660751565762005	3832	3832.0	161.0	8006	39.432933194154494	3829.0	0	3832.0	342	3832.0	0.9910232371540648	170.53235908141963	219.11377870563675	0	0
