# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	unfiltered_singletons	pass_min_insert	filtered_singletons	unfiltered_pairs	mean_PID	pass_min_mapq	mean_pair_length	mean_insert_distance	mean_mapq_score	pass_max_insert	mean_mistmaches	unfiltered_reads	median_insert	unfiltered_priority_reads	pass_min_read_ani	filtered_priority_reads
all_scaffolds	596129	594932	67983	596129.0	0	596129	0.991883852684299	595080.0	220.02817007728194	176.81450826918336	39.674998196699036	596034.0	1.7845315359594986	1260241	167.98214815920716	0	596076.0	0
NORP83_2	1231	1231	191	1231.0	0	1231	0.9898570678663032	1231.0	219.91307879772546	175.18115353371243	39.37611697806661	1231.0	2.2347684809098296	2653	168.0	0	1231.0	0
NORP83_1	1371	1369	170	1371.0	0	1371	0.992691631410446	1369.0	219.41648431801602	173.52297592997814	39.73304157549234	1371.0	1.6046681254558717	2912	165.0	0	1371.0	0
NORP83_4	993	992	121	993.0	0	993	0.992436067265565	992.0	219.95468277945616	175.9627391742195	41.33937562940584	993.0	1.6676737160120847	2107	166.0	0	993.0	0
NORP83_6	1081	1081	276	1081.0	0	1081	0.9898959762556144	1081.0	219.06290471785385	173.41443108233116	40.87141535615171	1081.0	2.2164662349676227	2438	165.0	0	1081.0	0
NORP83_8	1138	1135	96	1138.0	0	1138	0.9958287843324716	1135.0	219.55623901581725	175.97891036906853	35.433216168717045	1138.0	0.9138840070298768	2372	167.5	0	1138.0	0
NORP83_10	2317	2316	187	2317.0	0	2317	0.991669705418994	2317.0	219.8100992662926	173.47129909365557	41.52352179542512	2317.0	1.8282261545101424	4821	165.0	0	2316.0	0
NORP83_13	1244	1244	124	1244.0	0	1244	0.9919191669522436	1244.0	221.01848874598068	178.61977491961414	41.55385852090032	1244.0	1.7877813504823148	2612	170.0	0	1244.0	0
NORP83_16	1021	1020	202	1021.0	0	1021	0.9896425788358308	1020.0	219.1919686581783	170.53476983349657	40.169441723800205	1021.0	2.269343780607248	2244	161.0	0	1021.0	0
NORP83_14	406	406	272	406.0	0	406	0.9815549102583572	406.0	220.85714285714286	173.32512315270938	38.142857142857146	406.0	4.066502463054188	1084	159.0	0	406.0	0
NORP83_21	868	866	133	868.0	0	868	0.9900171988694032	866.0	221.28110599078343	177.1290322580645	33.40668202764977	868.0	2.207373271889401	1869	168.0	0	868.0	0
NORP83_12	1225	1225	203	1225.0	0	1225	0.9908796202479124	1225.0	220.61714285714282	177.55591836734695	41.321632653061215	1225.0	2.0122448979591843	2653	168.0	0	1225.0	0
NORP83_18	887	884	151	887.0	0	887	0.9903724995101524	884.0	219.88951521984214	174.76550169109356	34.77677564825254	887.0	2.1138669673055244	1925	166.0	0	887.0	0
NORP83_3	3801	3800	273	3801.0	0	3801	0.9922034039553124	3801.0	219.64719810576165	175.5435411733754	41.16995527492765	3800.0	1.7132333596421994	7875	168.0	0	3801.0	0
NORP83_25	1156	1156	115	1156.0	0	1156	0.991030530335812	1156.0	219.628892733564	178.6332179930796	41.146193771626294	1156.0	1.9749134948096885	2427	169.0	0	1156.0	0
NORP83_17	1397	1397	210	1397.0	0	1397	0.9883080417671206	1397.0	220.36864710093056	176.52254831782392	40.682891911238364	1397.0	2.566929133858268	3004	167.0	0	1397.0	0
NORP83_28	1371	1370	269	1371.0	0	1371	0.989410697877656	1370.0	221.11889132020423	176.23778264040843	36.25528811086798	1371.0	2.3377097009482126	3011	166.0	0	1371.0	0
NORP83_27	1024	1024	144	1024.0	0	1024	0.9911788674794476	1024.0	220.0390625	176.986328125	41.126953125	1024.0	1.94140625	2192	167.0	0	1024.0	0
NORP83_9	3474	3471	273	3474.0	0	3474	0.993711753781933	3472.0	220.79389752446747	176.9032815198618	38.94674726540011	3473.0	1.3914795624640184	7221	168.0	0	3474.0	0
NORP83_15	1897	1897	102	1897.0	0	1897	0.99444259813798	1897.0	220.681602530311	177.39167105956773	39.02055877701635	1897.0	1.228255139694254	3896	169.0	0	1897.0	0
NORP83_34	745	745	97	745.0	0	745	0.9928238532983009	745.0	220.3651006711409	178.71677852348992	41.4496644295302	745.0	1.577181208053691	1587	170.0	0	745.0	0
