scaffold	gene	gene_length	coverage	breadth	breadth_minCov	nucl_diversity	start	end	direction	partial	dNdS_substitutions	pNpS_variants	SNV_count	SNV_S_count	SNV_N_count	SNS_count	SNS_S_count	SNS_N_count	divergent_site_count
NORP83_1	NORP83_1_1	84.0	17.30952380952381	0.988095238095238	0.4166666666666667	0.0041842426572527005	2	85	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_1	NORP83_1_2	1200.0	42.25333333333333	1.0	0.9558333333333332	0.009838602495068738	134	1333	-1	False		0.06622050017611862	15.0	12.0	3.0	0.0	0.0	0.0	15.0
NORP83_1	NORP83_1_3	468.0	55.83333333333334	1.0	1.0	0.006942677956361054	1804	2271	1	False		0.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0
NORP83_1	NORP83_1_4	1335.0	48.53183520599251	1.0	0.9985018726591759	0.012516812462602831	2365	3699	1	False	0.0	0.023982167794607403	26.0	24.0	2.0	1.0	1.0	0.0	27.0
NORP83_1	NORP83_1_5	789.0	47.16983523447402	1.0	1.0	0.010034189742478716	3763	4551	1	False		0.04091691441089036	8.0	7.0	1.0	0.0	0.0	0.0	8.0
NORP83_1	NORP83_1_6	93.0	19.946236559139784	1.0	0.5806451612903226	0.034996243538679916	4564	4656	1	True		0.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0
NORP83_2	NORP83_2_1	87.0	11.873563218390805	0.9885057471264368	0.25287356321839083	0.004122861407019896	0	86	-1	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0
NORP83_2	NORP83_2_2	459.0	39.328976034858385	1.0	1.0	0.011353109267282613	102	560	-1	False		0.0	6.0	6.0	0.0	0.0	0.0	0.0	6.0
NORP83_2	NORP83_2_3	1908.0	34.713312368972744	1.0	0.8726415094339622	0.01328745550579491	741	2648	1	False		0.06165904847743488	34.0	28.0	6.0	0.0	0.0	0.0	34.0
NORP83_2	NORP83_2_4	405.0	32.382716049382715	1.0	0.9975308641975308	0.011225708492911712	2660	3064	1	False		0.0	6.0	6.0	0.0	0.0	0.0	0.0	6.0
NORP83_2	NORP83_2_5	447.0	43.83892617449664	1.0	1.0	0.011044075025008038	3061	3507	1	False		0.03940886699507386	8.0	7.0	1.0	0.0	0.0	0.0	8.0
NORP83_2	NORP83_2_6	1173.0	34.47058823529412	1.0	0.938618925831202	0.014455907080630381	3520	4692	1	False		0.03489431486880477	27.0	24.0	3.0	0.0	0.0	0.0	27.0
NORP83_2	NORP83_2_7	810.0	22.387654320987654	1.0	0.582716049382716	0.013245053210500957	4708	5517	1	True		0.036226114649681534	9.0	8.0	1.0	0.0	0.0	0.0	9.0
NORP83_3	NORP83_3_1	2103.0	37.127436994769376	1.0	0.9324774132192106	0.011099134626466391	7	2109	-1	False		0.15426497277676882	29.0	19.0	10.0	0.0	0.0	0.0	29.0
NORP83_3	NORP83_3_2	990.0	30.93131313131313	1.0	0.8303030303030303	0.010425332181355107	2212	3201	1	False		0.19567627494456805	13.0	8.0	5.0	0.0	0.0	0.0	13.0
NORP83_3	NORP83_3_3	459.0	49.472766884531595	1.0	1.0	0.0076411552159095794	3194	3652	1	False		0.13746505125815453	3.0	2.0	1.0	0.0	0.0	0.0	3.0
NORP83_3	NORP83_3_4	753.0	37.62416998671978	1.0	1.0	0.008560998189655167	3645	4397	1	False		0.12173913043478272	7.0	5.0	2.0	0.0	0.0	0.0	7.0
NORP83_3	NORP83_3_5	786.0	38.110687022900755	1.0	1.0	0.014002773749616004	4399	5184	1	False		0.12799109627156388	17.0	12.0	5.0	0.0	0.0	0.0	17.0
NORP83_3	NORP83_3_6	882.0	38.42176870748299	1.0	0.9671201814058956	0.011125156706131343	5186	6067	1	False		0.146408986849811	14.0	9.0	5.0	0.0	0.0	0.0	14.0
NORP83_3	NORP83_3_7	876.0	39.28196347031963	1.0	0.9965753424657534	0.006856273403145874	6191	7066	1	False		0.0	5.0	5.0	0.0	0.0	0.0	0.0	5.0
NORP83_3	NORP83_3_8	1098.0	46.95081967213114	1.0	1.0	0.011251865894633785	7070	8167	1	False		0.0	15.0	15.0	0.0	0.0	0.0	0.0	15.0
NORP83_3	NORP83_3_9	765.0	43.17385620915032	1.0	0.934640522875817	0.012463659923393378	8164	8928	1	False		0.025275560623337138	13.0	12.0	1.0	0.0	0.0	0.0	13.0
NORP83_3	NORP83_3_10	774.0	38.44961240310077	1.0	1.0	0.010494540751134427	8928	9701	1	False		0.06128577557148994	11.0	9.0	2.0	0.0	0.0	0.0	11.0
NORP83_3	NORP83_3_11	1893.0	46.847860538827256	1.0	1.0	0.010821441573184765	9717	11609	1	False		0.0566772295156176	24.0	20.0	4.0	0.0	0.0	0.0	24.0
NORP83_3	NORP83_3_12	1158.0	42.78756476683939	1.0	0.9982728842832471	0.01021658912765111	11665	12822	1	False		0.023317036479879698	14.0	13.0	1.0	0.0	0.0	0.0	14.0
NORP83_3	NORP83_3_13	423.0	40.26004728132388	1.0	1.0	0.012814006343237372	12887	13309	-1	False		0.049160671462829736	7.0	6.0	1.0	0.0	0.0	0.0	7.0
NORP83_3	NORP83_3_14	768.0	38.81640625	1.0	1.0	0.008514877874404192	13352	14119	-1	False		0.14684329199549048	6.0	4.0	2.0	0.0	0.0	0.0	6.0
NORP83_3	NORP83_3_15	1005.0	37.02189054726368	1.0	0.92636815920398	0.010060636812839086	14154	15158	-1	False		0.0	11.0	11.0	0.0	0.0	0.0	0.0	11.0
NORP83_3	NORP83_3_16	423.0	39.85106382978724	1.0	0.8747044917257684	0.010230277035687465	15165	15587	-1	True		0.0904809956273124	4.0	3.0	1.0	0.0	0.0	0.0	4.0
NORP83_4	NORP83_4_1	375.0	37.071999999999996	1.0	0.9493333333333334	0.01763811690753769	55	429	1	False		0.05832076420311719	11.0	9.0	2.0	0.0	0.0	0.0	11.0
NORP83_4	NORP83_4_2	240.0	48.35	1.0	1.0	0.011018966635068295	641	880	-1	False		0.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0
NORP83_4	NORP83_4_3	291.0	54.70446735395189	1.0	1.0	0.008022298722742405	894	1184	-1	False		0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
NORP83_4	NORP83_4_4	936.0	55.39636752136752	1.0	1.0	0.00786941020916665	1230	2165	-1	False		0.05125673249551181	6.0	5.0	1.0	0.0	0.0	0.0	6.0
NORP83_4	NORP83_4_5	1419.0	40.047216349541934	0.9978858350951374	0.9006342494714588	0.012697260890954687	2392	3810	1	True		0.06546014632268009	26.0	21.0	5.0	0.0	0.0	0.0	26.0
NORP83_5	NORP83_5_1	1701.0	33.91475602586713	1.0	0.9118165784832452	0.010191746560471173	0	1700	1	False		0.21456575059386965	23.0	13.0	10.0	0.0	0.0	0.0	23.0
NORP83_5	NORP83_5_2	1005.0	23.94726368159204	1.0	0.5402985074626866	0.00581418952011048	1702	2706	1	False		0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0
