gene_callers_id	source	accession	function	e_value
2	COG20_FUNCTION	COG2884	Cell division ATPase FtsE (FtsE)	1.4e-55
3	COG20_FUNCTION	COG2177	Cell division protein FtsX (FtsX)	8.7e-37
4	COG20_FUNCTION	COG2096	Cob(II)alamin adenosyltransferase (PduO) (PDB:1NOG)	9.6e-52
7	COG20_FUNCTION	COG2030	Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	1.4e-58
8	COG20_FUNCTION	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)	1.5e-178
9	COG20_FUNCTION	COG0789	DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)	2e-29
10	COG20_FUNCTION	COG2050	Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	1.6e-27
11	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	3e-182
12	COG20_FUNCTION	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component (MmdA) (PDB:1OD2)	8e-110
13	COG20_FUNCTION	COG1024!!!COG1250	Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)!!!3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	2.4e-235
14	COG20_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	4.2e-105
15	COG20_FUNCTION	COG2050	Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	1.1e-23
16	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	2.2e-82
17	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	9.8e-73
18	COG20_FUNCTION	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	6e-79
19	COG20_FUNCTION	COG0559	Branched-chain amino acid ABC-type transport system, permease component (LivH)	1.7e-121
20	COG20_FUNCTION	COG4177	ABC-type branched-chain amino acid transport system, permease component (LivM)	3.3e-143
21	COG20_FUNCTION	COG0411	ABC-type branched-chain amino acid transport system, ATPase component LivG (LivG) (PDB:1G9X) (PUBMED:29514851)	4.3e-113
22	COG20_FUNCTION	COG0410	ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)	6.2e-112
23	COG20_FUNCTION	COG1022	Long-chain acyl-CoA synthetase (AMP-forming) (FAA1)	3.6e-230
