,Position,0,1,2,3,4,5,6,7
118,1258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
118,1259,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,1167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1140,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,1131,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,963,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,945,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,930,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,837,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,636,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,627,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,596,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,561,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,426,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,384,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,315,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,291,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
649,9945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10173,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,10242,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1417,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1095,1402,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1336,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1303,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1295,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1213,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1095,1198,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1159,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1095,1102,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1072,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
