,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
118,1258,0.0,0.0,0.992,0.008,0.0,0.0,0.0,1.0,0.008,0.01,0.82,0.162,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1259,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.056,0.924,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.726,0.0,0.274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,1167,0.568,0.0,0.432,0.0,0.0,0.0,1.0,0.0,0.56,0.002,0.438,0.0,0.484,0.0,0.516,0.0,1.0,0.0,0.0,0.0
118,1140,0.948,0.0,0.052,0.0,1.0,0.0,0.0,0.0,0.954,0.0,0.046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1131,0.896,0.0,0.104,0.0,1.0,0.0,0.0,0.0,0.846,0.0,0.154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,963,0.272,0.0,0.728,0.0,1.0,0.0,0.0,0.0,0.254,0.0,0.746,0.0,0.75,0.0,0.25,0.0,0.0,0.0,1.0,0.0
118,945,0.846,0.0,0.0,0.154,1.0,0.0,0.0,0.0,0.814,0.0,0.0,0.186,0.162,0.0,0.0,0.838,0.0,0.0,0.0,1.0
118,930,0.0,0.364,0.0,0.636,0.0,0.0,0.0,1.0,0.006,0.432,0.0,0.562,0.0,0.628,0.0,0.372,0.0,1.0,0.0,0.0
118,837,0.0,0.042,0.0,0.958,0.0,1.0,0.0,0.0,0.0,0.232,0.0,0.768,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,0.978,0.0,0.022,0.0,0.0,0.0,1.0,0.0,0.862,0.0,0.138,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,0.19,0.0,0.81,0.0,1.0,0.0,0.0,0.0,0.698,0.0,0.302,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,636,0.002,0.0,0.0,0.998,1.0,0.0,0.0,0.0,0.082,0.0,0.002,0.916,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,627,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.372,0.628,0.0,0.0,0.946,0.054,0.0
118,596,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.97,0.0,0.03,0.0,1.0,0.0,0.0,0.0
118,561,0.962,0.0,0.038,0.0,0.0,0.0,1.0,0.0,0.328,0.014,0.628,0.03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,426,0.006,0.594,0.002,0.398,0.0,1.0,0.0,0.0,0.004,0.548,0.01,0.438,0.0,0.028,0.0,0.972,0.0,0.008,0.0,0.992
118,384,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,0.486,0.0,0.514,0.0,1.0,0.0,0.0,0.0,0.466,0.0,0.534,0.0,0.548,0.0,0.452,0.0,0.0,0.0,1.0,0.0
118,291,0.0,0.856,0.0,0.144,0.0,0.0,0.0,1.0,0.0,0.914,0.0,0.086,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
648,9682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.998,0.0,0.002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
648,9751,0.962,0.0,0.0,0.038,0.178,0.0,0.0,0.822,0.844,0.0,0.0,0.156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
648,9817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,9945,1.0,0.0,0.0,0.0,0.892,0.0,0.0,0.108,0.108,0.0,0.0,0.892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
649,10173,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10242,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
