,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
118,1258,0.252,0.282,0.214,0.252,0.254,0.27,0.256,0.22,0.0,0.0,0.974,0.026,0.0,0.0,1.0,0.0,0.228,0.214,0.302,0.256,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
118,1259,0.22,0.258,0.282,0.24,0.252,0.29,0.232,0.226,0.002,0.346,0.652,0.0,0.0,0.0,1.0,0.0,0.23,0.25,0.294,0.226,0.0,0.0,1.0,0.0,0.0,0.656,0.344,0.0
118,1212,0.254,0.286,0.256,0.204,0.0,0.912,0.0,0.088,0.0,0.172,0.0,0.828,0.0,0.0,0.0,1.0,0.224,0.264,0.238,0.274,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.996
118,1167,0.262,0.256,0.236,0.246,0.252,0.0,0.748,0.0,0.298,0.0,0.702,0.0,1.0,0.0,0.0,0.0,0.268,0.222,0.284,0.226,0.0,0.0,1.0,0.0,0.722,0.0,0.278,0.0
118,1140,0.242,0.248,0.244,0.266,0.214,0.0,0.786,0.0,0.17,0.0,0.83,0.0,0.0,0.0,1.0,0.0,0.276,0.236,0.27,0.218,1.0,0.0,0.0,0.0,0.836,0.0,0.164,0.0
118,1131,0.292,0.234,0.264,0.21,0.568,0.0,0.432,0.0,0.652,0.0,0.348,0.0,0.0,0.0,1.0,0.0,0.26,0.224,0.294,0.222,1.0,0.0,0.0,0.0,0.346,0.0,0.654,0.0
118,963,0.228,0.258,0.262,0.252,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.262,0.216,0.306,0.216,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,945,0.27,0.252,0.23,0.248,0.082,0.0,0.0,0.918,0.096,0.0,0.0,0.904,0.0,0.0,0.0,1.0,0.292,0.204,0.232,0.272,1.0,0.0,0.0,0.0,0.94,0.0,0.0,0.06
118,930,0.418,0.186,0.174,0.222,0.326,0.466,0.002,0.206,0.0,0.856,0.0,0.144,0.0,1.0,0.0,0.0,0.38,0.218,0.186,0.216,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.86
118,837,0.282,0.256,0.216,0.246,0.0,0.632,0.002,0.366,0.0,0.038,0.0,0.962,0.0,0.0,0.0,1.0,0.252,0.244,0.216,0.288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,828,0.234,0.226,0.286,0.254,0.68,0.002,0.316,0.002,0.968,0.0,0.032,0.0,1.0,0.0,0.0,0.0,0.298,0.212,0.27,0.22,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,663,0.254,0.276,0.25,0.22,0.006,0.514,0.0,0.48,0.0,0.484,0.0,0.516,0.0,0.0,0.0,1.0,0.248,0.272,0.23,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,636,0.268,0.262,0.236,0.234,0.11,0.002,0.002,0.886,0.028,0.0,0.002,0.97,0.0,0.0,0.0,1.0,0.28,0.232,0.206,0.282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,627,0.0,1.0,0.0,0.0,0.004,0.68,0.312,0.004,0.0,0.118,0.882,0.0,0.0,1.0,0.0,0.0,0.216,0.272,0.274,0.238,0.0,0.0,1.0,0.0,0.0,0.956,0.044,0.0
118,596,1.0,0.0,0.0,0.0,0.91,0.0,0.09,0.0,0.124,0.0,0.876,0.0,1.0,0.0,0.0,0.0,0.33,0.214,0.258,0.198,0.0,0.0,1.0,0.0,0.996,0.0,0.004,0.0
118,561,0.278,0.246,0.244,0.232,0.228,0.242,0.254,0.276,0.682,0.0,0.316,0.002,1.0,0.0,0.0,0.0,0.258,0.222,0.316,0.204,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,426,0.27,0.236,0.25,0.244,0.0,0.52,0.0,0.48,0.008,0.41,0.008,0.574,0.0,0.004,0.0,0.996,0.196,0.278,0.234,0.292,0.0,1.0,0.0,0.0,0.0,0.222,0.0,0.778
118,384,0.0,1.0,0.0,0.0,0.0,0.946,0.052,0.002,0.0,0.906,0.094,0.0,0.0,1.0,0.0,0.0,0.228,0.292,0.284,0.196,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,315,0.258,0.236,0.244,0.262,0.576,0.0,0.424,0.0,0.282,0.0,0.718,0.0,0.0,0.0,1.0,0.0,0.248,0.256,0.254,0.242,1.0,0.0,0.0,0.0,0.762,0.0,0.238,0.0
118,291,0.268,0.244,0.198,0.29,0.0,0.39,0.0,0.61,0.0,0.846,0.0,0.154,0.0,1.0,0.0,0.0,0.252,0.314,0.222,0.212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
