,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
118,1258,0.0,0.0,0.0,1.0,0.296,0.24,0.232,0.232,0.012,0.012,0.908,0.068,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1259,0.0,0.0,1.0,0.0,0.232,0.264,0.268,0.236,0.004,0.036,0.948,0.012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,1212,0.0,1.0,0.0,0.0,0.236,0.288,0.268,0.208,0.0,0.876,0.0,0.124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,1167,0.0,0.0,1.0,0.0,0.272,0.268,0.252,0.208,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,1140,1.0,0.0,0.0,0.0,0.26,0.2,0.332,0.208,0.896,0.0,0.104,0.0,0.0,0.0,1.0,0.0,0.104,0.0,0.896,0.0
118,1131,1.0,0.0,0.0,0.0,0.26,0.28,0.24,0.22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,963,1.0,0.0,0.0,0.0,0.236,0.248,0.3,0.216,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,945,1.0,0.0,0.0,0.0,0.276,0.252,0.256,0.216,0.144,0.0,0.0,0.856,0.0,0.0,0.0,1.0,0.868,0.0,0.0,0.132
118,930,0.0,0.0,0.0,1.0,0.436,0.18,0.208,0.176,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,837,0.0,1.0,0.0,0.0,0.244,0.276,0.248,0.232,0.0,0.08,0.0,0.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,0.0,0.0,1.0,0.0,0.252,0.228,0.268,0.252,0.964,0.0,0.036,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,1.0,0.0,0.0,0.204,0.3,0.216,0.28,0.0,0.556,0.0,0.444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,636,1.0,0.0,0.0,0.0,0.216,0.312,0.272,0.2,0.016,0.0,0.0,0.984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,627,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,596,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.916,0.0,0.084,0.0
118,561,0.0,0.0,1.0,0.0,0.264,0.236,0.276,0.224,0.672,0.008,0.308,0.012,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,426,0.0,1.0,0.0,0.0,0.244,0.248,0.204,0.304,0.0,0.852,0.0,0.148,0.0,0.004,0.0,0.996,0.0,0.06,0.0,0.94
118,384,0.0,0.976,0.024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,1.0,0.0,0.0,0.0,0.216,0.208,0.308,0.268,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,291,0.0,0.0,0.0,1.0,0.224,0.292,0.224,0.26,0.0,0.968,0.0,0.032,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9682,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.912,0.0,0.088,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9751,1.0,0.0,0.0,0.0,0.292,0.22,0.264,0.224,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9817,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
649,9945,0.0,0.0,0.0,1.0,0.24,0.36,0.184,0.216,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
649,10173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,10242,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1417,0.268,0.264,0.236,0.232,0.0,0.0,0.0,1.0,0.0,0.0,0.968,0.032,0.0,0.0,0.724,0.276,0.0,0.0,0.332,0.668
1095,1402,0.308,0.252,0.224,0.216,1.0,0.0,0.0,0.0,0.008,0.992,0.0,0.0,0.168,0.832,0.0,0.0,0.724,0.276,0.0,0.0
1095,1336,0.228,0.276,0.264,0.232,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,0.0,0.12,0.0
1095,1303,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1295,0.264,0.22,0.276,0.24,1.0,0.0,0.0,0.0,0.336,0.0,0.664,0.0,0.472,0.0,0.528,0.0,0.208,0.0,0.792,0.0
1095,1261,0.016,0.0,0.0,0.984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1095,1213,0.236,0.256,0.268,0.24,0.0,0.0,0.0,1.0,0.0,0.992,0.0,0.008,0.0,0.824,0.0,0.176,0.0,0.3,0.0,0.7
1095,1198,0.236,0.288,0.204,0.272,1.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0,0.348,0.0,0.652,0.0,0.588,0.0,0.412,0.0
1095,1183,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.216,0.0,0.784,0.0,0.0,0.0,1.0,0.0,0.78,0.0,0.22
1095,1159,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1072,0.008,0.0,0.0,0.992,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1098,3532,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3346,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1098,3306,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3259,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3253,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3247,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1098,3100,0.0,0.0,1.0,0.0,0.268,0.224,0.276,0.232,0.0,0.0,0.748,0.252,0.0,0.0,0.004,0.996,0.0,0.0,0.284,0.716
1098,3097,0.0,1.0,0.0,0.0,0.248,0.244,0.26,0.248,0.0,0.748,0.0,0.252,0.0,0.0,0.0,1.0,0.0,0.312,0.0,0.688
