,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
118,1258,0.0,0.0,1.0,0.0,0.0,0.0,0.912,0.088,0.0,0.0,0.308,0.692,0.0,0.0,0.776,0.224,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.248,0.244,0.276,0.232
118,1259,0.0,0.0,1.0,0.0,0.0,0.896,0.104,0.0,0.0,0.008,0.992,0.0,0.0,0.108,0.892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.264,0.296,0.212,0.228
118,1212,0.0,0.0,0.0,1.0,0.0,0.992,0.0,0.008,0.0,0.044,0.0,0.956,0.0,0.016,0.0,0.984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,0.312,0.196,0.252
118,1167,0.924,0.0,0.076,0.0,0.0,0.0,1.0,0.0,0.228,0.0,0.772,0.0,0.912,0.0,0.088,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32,0.192,0.28,0.208
118,1140,0.116,0.0,0.884,0.0,1.0,0.0,0.0,0.0,0.608,0.0,0.392,0.0,0.276,0.0,0.724,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.288,0.196,0.284,0.232
118,1131,0.044,0.0,0.956,0.0,1.0,0.0,0.0,0.0,0.772,0.0,0.228,0.0,0.156,0.0,0.844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.208,0.316,0.176
118,963,0.268,0.0,0.732,0.0,1.0,0.0,0.0,0.0,0.352,0.0,0.648,0.0,0.616,0.0,0.384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.276,0.244,0.268,0.212
118,945,0.108,0.0,0.0,0.892,1.0,0.0,0.0,0.0,0.56,0.0,0.0,0.44,0.572,0.0,0.0,0.428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.256,0.244,0.22,0.28
118,930,0.0,0.908,0.0,0.092,0.0,0.0,0.0,1.0,0.008,0.292,0.0,0.7,0.0,0.752,0.0,0.248,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.952,0.016,0.012,0.02
118,837,0.0,0.0,0.0,1.0,0.0,0.884,0.0,0.116,0.0,0.12,0.0,0.88,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.184,0.288,0.248,0.28
118,828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.248,0.3,0.264,0.188
118,663,0.0,0.548,0.0,0.452,0.0,0.136,0.0,0.864,0.0,0.348,0.0,0.652,0.0,0.036,0.0,0.964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.224,0.236,0.236,0.304
118,636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.004,0.0,0.0,0.996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.248,0.256,0.212,0.284
118,627,0.0,0.104,0.896,0.0,0.0,0.896,0.104,0.0,0.0,0.736,0.264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,596,0.072,0.0,0.928,0.0,0.96,0.0,0.04,0.0,0.808,0.0,0.192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,561,0.856,0.0,0.144,0.0,1.0,0.0,0.0,0.0,0.884,0.0,0.116,0.0,0.528,0.0,0.472,0.0,0.0,0.0,1.0,0.0,0.716,0.0,0.284,0.0,0.284,0.24,0.24,0.236
118,426,0.0,0.86,0.0,0.14,0.0,0.156,0.0,0.844,0.004,0.668,0.004,0.324,0.152,0.44,0.148,0.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,0.304,0.24,0.276
118,384,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,0.188,0.0,0.812,0.0,1.0,0.0,0.0,0.0,0.708,0.0,0.292,0.0,0.196,0.0,0.804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.344,0.196,0.276,0.184
118,291,0.0,0.592,0.0,0.408,0.0,0.0,0.0,1.0,0.0,0.412,0.0,0.588,0.0,0.752,0.0,0.248,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.216,0.228,0.184,0.372
648,9682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
648,9751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.292,0.228,0.268,0.212,1.0,0.0,0.0,0.0,0.304,0.212,0.272,0.212
648,9817,0.0,0.0,0.0,1.0,0.0,0.016,0.0,0.984,0.0,0.984,0.0,0.016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
649,9945,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.16,0.572,0.144,0.124,1.0,0.0,0.0,0.0,0.268,0.256,0.216,0.26
649,10173,0.0,0.492,0.0,0.508,0.0,1.0,0.0,0.0,0.0,0.532,0.0,0.468,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
649,10242,0.08,0.0,0.92,0.0,0.184,0.0,0.816,0.0,0.548,0.0,0.452,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1417,0.288,0.204,0.276,0.232,0.296,0.216,0.244,0.244,0.26,0.22,0.24,0.28,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.98,0.264,0.232,0.28,0.224,0.0,0.0,1.0,0.0
1095,1402,0.252,0.224,0.272,0.252,0.24,0.236,0.296,0.228,0.248,0.256,0.2,0.296,0.0,1.0,0.0,0.0,0.432,0.568,0.0,0.0,0.272,0.22,0.296,0.212,1.0,0.0,0.0,0.0
1095,1336,0.288,0.248,0.248,0.216,0.224,0.224,0.32,0.232,0.196,0.228,0.316,0.26,0.0,0.0,1.0,0.0,0.672,0.0,0.328,0.0,0.26,0.24,0.296,0.204,1.0,0.0,0.0,0.0
1095,1303,0.364,0.0,0.636,0.0,0.192,0.0,0.808,0.0,0.444,0.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1295,0.264,0.3,0.224,0.212,0.212,0.288,0.24,0.26,0.256,0.232,0.236,0.276,0.0,0.0,1.0,0.0,0.856,0.0,0.144,0.0,0.24,0.26,0.264,0.236,1.0,0.0,0.0,0.0
1095,1261,1.0,0.0,0.0,0.0,0.752,0.0,0.0,0.248,0.684,0.0,0.0,0.316,0.0,0.0,0.0,1.0,0.108,0.0,0.0,0.892,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1213,0.252,0.28,0.216,0.252,0.244,0.228,0.264,0.264,0.28,0.24,0.216,0.264,0.0,0.0,0.0,1.0,0.0,0.036,0.0,0.964,0.26,0.264,0.208,0.268,0.0,1.0,0.0,0.0
1095,1198,0.272,0.22,0.248,0.26,0.252,0.228,0.22,0.3,0.232,0.244,0.244,0.28,1.0,0.0,0.0,0.0,0.996,0.0,0.004,0.0,0.26,0.228,0.28,0.232,0.0,0.0,1.0,0.0
1095,1183,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1095,1102,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.036,0.0,0.0,0.964,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1098,3532,0.912,0.0,0.088,0.0,0.98,0.0,0.02,0.0,0.34,0.0,0.66,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3346,0.0,0.0,0.004,0.996,0.0,0.0,0.884,0.116,0.0,0.0,0.112,0.888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3306,0.0,0.0,1.0,0.0,0.004,0.0,0.996,0.0,0.036,0.0,0.964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1098,3259,0.056,0.0,0.944,0.0,1.0,0.0,0.0,0.0,0.816,0.0,0.184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3253,0.056,0.0,0.944,0.0,1.0,0.0,0.0,0.0,0.756,0.0,0.244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3247,0.0,0.024,0.0,0.976,0.0,1.0,0.0,0.0,0.0,0.596,0.0,0.404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1098,3100,0.0,0.0,0.52,0.48,0.0,0.0,0.084,0.916,0.004,0.0,0.536,0.46,0.0,0.0,0.316,0.684,0.0,0.0,1.0,0.0,0.0,0.0,0.476,0.524,0.272,0.216,0.264,0.248
1098,3097,0.0,0.628,0.0,0.372,0.0,0.06,0.0,0.94,0.0,0.612,0.0,0.388,0.004,0.256,0.0,0.74,0.0,1.0,0.0,0.0,0.0,0.376,0.0,0.624,0.244,0.244,0.248,0.264
1098,3094,0.0,0.448,0.0,0.552,0.0,0.884,0.0,0.116,0.004,0.464,0.0,0.532,0.0,0.792,0.0,0.208,0.0,0.0,0.0,1.0,0.0,0.588,0.0,0.412,0.264,0.248,0.216,0.272
1098,3082,0.3,0.0,0.7,0.0,0.836,0.0,0.164,0.0,0.704,0.0,0.292,0.004,0.956,0.004,0.04,0.0,0.0,0.0,1.0,0.0,0.884,0.0,0.116,0.0,0.276,0.22,0.28,0.224
1098,3064,0.0,0.0,0.368,0.632,0.0,0.0,0.884,0.116,0.0,0.0,0.764,0.236,0.0,0.0,0.984,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.74,0.26,0.24,0.168,0.324,0.268
1098,3058,0.12,0.0,0.88,0.0,0.872,0.0,0.128,0.0,0.44,0.0,0.56,0.0,0.956,0.0,0.044,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.252,0.172,0.276,0.3
1098,3000,0.228,0.0,0.772,0.0,0.088,0.0,0.912,0.0,0.676,0.0,0.324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1098,2854,0.96,0.0,0.04,0.0,1.0,0.0,0.0,0.0,0.456,0.0,0.544,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,2716,0.0,0.784,0.0,0.216,0.0,1.0,0.0,0.0,0.0,0.268,0.0,0.732,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1099,4567,0.216,0.276,0.256,0.252,0.224,0.248,0.288,0.24,0.224,0.252,0.288,0.236,1.0,0.0,0.0,0.0,0.988,0.0,0.0,0.012,0.264,0.224,0.252,0.26,0.0,0.0,0.0,1.0
