# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	pass_max_insert	unfiltered_reads	mean_mistmaches	unfiltered_priority_reads	mean_mapq_score	median_insert	filtered_priority_reads	mean_PID	unfiltered_singletons	pass_min_read_ani	mean_insert_distance	unfiltered_pairs	mean_pair_length	filtered_singletons	pass_min_mapq	pass_min_insert
all_scaffolds	978468	976480	978384.0	2106044	1.6775040164829098	0	39.69146563812	165.58237877988856	0	0.9923582181265022	149108	978369.0	172.9482497128164	978468	219.64724446788242	0	976660.0	978468.0
NORP83_1	2093	2093	2093.0	4480	1.2369804108934543	0	39.87529861442904	166.0	0	0.9943541045164394	294	2093.0	172.9531772575251	2093	219.20162446249404	0	2093.0	2093.0
NORP83_2	2342	2341	2342.0	4999	1.5836891545687446	0	40.009393680614856	166.0	0	0.9927738419221316	315	2342.0	171.79077711357812	2342	219.34073441502986	0	2341.0	2342.0
NORP83_4	1728	1727	1728.0	3692	0.8663194444444444	0	41.6394675925926	164.0	0	0.9960776235754086	236	1728.0	171.8478009259259	1728	220.41666666666663	0	1727.0	1728.0
NORP83_6	2304	2301	2303.0	5006	2.0746527777777777	0	40.864583333333336	163.0	0	0.9905412649168336	398	2303.0	172.76605902777774	2304	219.04644097222226	0	2303.0	2304.0
NORP83_8	2398	2395	2398.0	5046	0.33527939949958296	0	37.434945788156796	165.0	0	0.9984617783267448	250	2398.0	172.49207673060883	2398	218.82652210175144	0	2395.0	2398.0
NORP83_16	1818	1816	1817.0	3891	1.522002200220022	0	40.802530253025296	167.0	0	0.9930279409887718	255	1817.0	173.5445544554455	1818	219.26622662266223	0	1818.0	1818.0
NORP83_18	1253	1245	1253.0	2875	2.823623304070232	0	33.04948124501197	163.0	0	0.987115678770108	369	1253.0	168.658419792498	1253	219.218675179569	0	1245.0	1253.0
NORP83_12	1808	1808	1808.0	3981	2.211836283185841	0	41.00884955752213	165.0	0	0.9899449004210537	365	1808.0	171.4103982300885	1808	219.8517699115044	0	1808.0	1808.0
NORP83_14	1156	1156	1156.0	2910	3.109861591695502	0	39.08477508650519	158.0	0	0.9858102737699184	598	1156.0	165.9852941176471	1156	219.871107266436	0	1156.0	1156.0
NORP83_13	1902	1902	1902.0	4124	2.673501577287066	0	40.882754994742385	166.0	0	0.9878656677392748	320	1902.0	172.56046267087277	1902	220.69400630914828	0	1902.0	1902.0
NORP83_17	2477	2477	2477.0	5313	2.2531287848203467	0	40.885748889786036	168.0	0	0.9897134044128308	359	2477.0	175.54662898667743	2477	219.90028259991925	0	2477.0	2477.0
NORP83_9	4732	4729	4731.0	10116	1.7808537616229925	0	37.65997464074387	168.0	0	0.9918913515830592	652	4732.0	174.51310228233302	4732	219.76098901098905	0	4730.0	4732.0
NORP83_15	2508	2508	2508.0	5233	0.9932216905901116	0	41.069776714513566	167.0	0	0.9954975839394392	217	2508.0	174.957336523126	2508	220.68819776714517	0	2508.0	2508.0
NORP83_23	2667	2667	2667.0	5624	0.3374578177727784	0	41.997750281214856	168.0	0	0.9984761409515269	290	2667.0	176.20022497187855	2667	220.607424071991	0	2667.0	2667.0
NORP83_21	1190	1177	1190.0	2713	3.569747899159663	0	30.442016806722695	161.0	0	0.983821479664402	333	1189.0	170.18067226890756	1190	220.581512605042	0	1178.0	1190.0
NORP83_3	6687	6682	6685.0	14059	1.8664573052190816	0	41.04336772842829	167.0	0	0.9914835188331464	685	6687.0	173.97667115298339	6687	219.04202183340809	0	6684.0	6687.0
NORP83_22	2055	2052	2053.0	4366	1.6145985401459857	0	40.836009732360104	166.0	0	0.9926275451741371	256	2055.0	172.59610705596108	2055	219.00827250608276	0	2054.0	2055.0
NORP83_27	1810	1810	1810.0	3893	1.7972375690607736	0	41.06353591160221	162.0	0	0.9918314872743876	273	1810.0	170.2441988950276	1810	219.67900552486188	0	1810.0	1810.0
NORP83_25	1996	1993	1996.0	4245	1.5450901803607215	0	41.18887775551102	168.0	0	0.9929782739256324	253	1995.0	174.5706412825651	1996	219.75951903807612	0	1994.0	1996.0
NORP83_10	3996	3995	3996.0	8428	1.4834834834834836	0	41.66891891891892	165.0	0	0.9932505309377164	436	3996.0	172.20120120120117	3996	219.68418418418415	0	3995.0	3996.0
NORP83_7	8253	8090	8253.0	17260	1.2579667999515327	0	37.66387980128439	165.0	0	0.9942950218950006	754	8253.0	173.03186719980613	8253	219.9206349206349	0	8090.0	8253.0
NORP83_35	1293	1293	1293.0	2916	2.9590100541376643	0	40.427687548337204	164.0	0	0.9865216550217036	330	1293.0	172.00928074245942	1293	219.31090487238976	0	1293.0	1293.0
NORP83_30	1908	1904	1908.0	4210	2.1787211740041927	0	39.864255765199154	163.0	0	0.990044869594	394	1908.0	170.11006289308173	1908	219.4764150943396	0	1904.0	1908.0
NORP83_11	4251	4250	4250.0	9139	1.9894142554693013	0	40.34885909197836	167.0	0	0.9909439500430036	637	4251.0	173.27687602916959	4251	219.4587155963303	0	4251.0	4251.0
NORP83_5	6876	6861	6864.0	14638	0.8616928446771379	0	40.85922047702152	165.0	0	0.9960855669617265	886	6876.0	189.04639325189063	6876	220.26847004072133	0	6873.0	6876.0
NORP83_34	1484	1483	1484.0	3127	1.4245283018867925	0	41.56199460916442	164.0	0	0.99352649747925	159	1484.0	172.14083557951486	1484	219.71630727762803	0	1483.0	1484.0
NORP83_24	3255	3254	3255.0	6938	1.6596006144393238	0	40.05407066052228	166.0	0	0.9924083116759798	428	3255.0	174.24024577572965	3255	218.97450076804915	0	3254.0	3255.0
NORP83_33	1109	1109	1109.0	2526	2.45716862037872	0	40.930568079350756	161.0	0	0.988854162011074	308	1109.0	171.40667267808837	1109	220.41839495040574	0	1109.0	1109.0
NORP83_26	4946	4940	4943.0	10341	1.3396684189243833	0	40.737565709664366	167.0	0	0.993912725391726	449	4946.0	174.68964820056613	4946	219.95915891629602	0	4943.0	4946.0
NORP83_28	2578	2578	2578.0	5409	0.7905352986811481	0	39.14972847168347	166.0	0	0.9964076817757694	253	2578.0	173.6287820015516	2578	220.35996896819242	0	2578.0	2578.0
NORP83_36	2154	2144	2154.0	4579	2.347725162488393	0	40.45728876508821	167.0	0	0.9893731103172954	271	2154.0	173.8008356545961	2154	220.31940575673167	0	2144.0	2154.0
NORP83_44	1223	1220	1223.0	2786	0.94766966475879	0	39.87244480784955	162.0	0	0.9956429177200752	340	1223.0	168.12591986917417	1223	219.92395748160263	0	1220.0	1223.0
NORP83_38	1340	1340	1340.0	3102	3.5440298507462686	0	38.77313432835821	162.0	0	0.98380692497472	422	1340.0	169.5261194029851	1340	218.70671641791046	0	1340.0	1340.0
NORP83_37	1590	1588	1590.0	3422	2.788679245283019	0	38.7062893081761	167.0	0	0.9872769363416132	242	1590.0	174.2	1590	219.61006289308173	0	1588.0	1590.0
NORP83_42	1283	1283	1283.0	2824	3.142634450506625	0	40.46687451286049	167.0	0	0.9857599922197526	258	1283.0	174.2657833203429	1283	219.78020265003897	0	1283.0	1283.0
NORP83_39	2641	2636	2640.0	5601	1.146914047709201	0	39.154486936766375	164.0	0	0.9947780083644628	319	2641.0	171.96478606588414	2641	219.23135176069667	0	2637.0	2641.0
NORP83_32	3765	3673	3765.0	7869	0.7120849933598937	0	35.10677290836654	167.0	0	0.9967601858357084	339	3765.0	173.002390438247	3765	220.07941567065072	0	3673.0	3765.0
NORP83_46	903	901	903.0	2420	4.578073089700997	0	34.96234772978959	158.0	0	0.97921063870023	614	903.0	166.70099667774087	903	220.0254706533776	0	901.0	903.0
NORP83_45	1041	1007	1041.0	2388	3.661863592699328	0	25.856868395773287	164.0	0	0.9832043395080023	306	1041.0	171.74159462055715	1041	219.4495677233429	0	1007.0	1041.0
NORP83_48	1771	1769	1771.0	3738	2.032749858836816	0	35.798983625070576	166.0	0	0.9907258540452814	196	1771.0	172.12422360248448	1771	219.1163184641445	0	1769.0	1771.0
NORP83_49	2729	2729	2729.0	5735	0.7185782337852693	0	41.07145474532796	164.0	0	0.996733821877927	277	2729.0	171.58446317332354	2729	219.6581165262001	0	2729.0	2729.0
NORP83_31	4761	4761	4761.0	10269	2.30896870405377	0	40.90737240075615	165.0	0	0.9895450116409154	747	4761.0	173.2793530770846	4761	220.7939508506616	0	4761.0	4761.0
NORP83_47	2426	2423	2426.0	5183	1.3400659521846658	0	38.767518549051935	167.0	0	0.9939024655486808	331	2426.0	174.11500412201156	2426	220.43981863149216	0	2423.0	2426.0
NORP83_52	768	766	768.0	1921	4.345052083333333	0	38.07682291666666	160.0	0	0.9802168657946884	385	768.0	166.04166666666666	768	219.88932291666663	0	766.0	768.0
NORP83_20	4132	4123	4132.0	8975	2.4702323330106486	0	32.89811229428848	163.0	0	0.9887376007857204	711	4132.0	170.91553727008713	4132	219.33131655372705	0	4123.0	4132.0
NORP83_29	3814	3812	3814.0	8048	1.915836392239119	0	39.090980597797596	166.0	0	0.9912766370612736	420	3813.0	174.1727844782381	3814	218.96879916098584	0	3813.0	3814.0
NORP83_54	1377	1377	1377.0	3081	3.3507625272331154	0	39.594771241830074	165.0	0	0.9847301291154836	327	1377.0	172.27015250544662	1377	218.97095134350042	0	1377.0	1377.0
NORP83_51	2312	2310	2312.0	5004	0.4887543252595156	0	40.87716262975777	169.0	0	0.9977698718084236	380	2312.0	177.125	2312	220.80320069204154	0	2310.0	2312.0
NORP83_43	3100	3096	3097.0	6833	1.5406451612903225	0	40.54741935483871	166.0	0	0.992975143983086	633	3100.0	173.72806451612902	3100	219.9067741935484	0	3099.0	3100.0
NORP83_41	3108	3106	3108.0	6785	2.0723938223938223	0	40.31435006435007	164.0	0	0.9905294709333666	569	3108.0	171.1219433719434	3108	219.50868725868725	0	3106.0	3108.0
NORP83_57	1173	1171	1173.0	2586	2.139812446717817	0	40.31031543052004	166.0	0	0.990250395626034	240	1172.0	171.75532821824382	1173	219.62063086104007	0	1172.0	1173.0
NORP83_55	1341	1341	1341.0	2911	1.7479492915734527	0	41.546607009694256	166.0	0	0.9919428660920871	229	1341.0	172.1200596569724	1341	217.88068605518268	0	1341.0	1341.0
NORP83_58	1238	1238	1238.0	2818	2.417609046849757	0	40.639741518578354	165.0	0	0.9888765923015298	342	1238.0	171.03554119547658	1238	217.04200323101776	0	1238.0	1238.0
NORP83_40	5526	5526	5526.0	11860	1.9567499095186391	0	41.25895765472313	165.0	0	0.991083166188258	808	5526.0	171.82772348896128	5526	219.14513210278682	0	5526.0	5526.0
NORP83_60	1725	1722	1725.0	3949	2.794202898550725	0	38.59768115942029	162.0	0	0.9871821169220076	499	1725.0	168.49797101449275	1725	218.0782608695652	0	1722.0	1725.0
