,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
118,1258,0.0,0.0,0.0,1.0,0.234,0.23,0.292,0.244,0.002,0.004,0.678,0.316,0.0,0.0,0.304,0.696,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1259,0.0,0.0,1.0,0.0,0.224,0.298,0.27,0.208,0.0,0.992,0.008,0.0,0.002,0.074,0.924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,1.0,0.0,0.0,0.23,0.264,0.224,0.282,0.0,0.77,0.0,0.23,0.0,0.73,0.0,0.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,1167,0.0,0.0,1.0,0.0,0.298,0.194,0.268,0.24,1.0,0.0,0.0,0.0,0.998,0.0,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1140,1.0,0.0,0.0,0.0,0.264,0.21,0.328,0.198,0.002,0.0,0.998,0.0,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,1131,1.0,0.0,0.0,0.0,0.308,0.212,0.28,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,963,1.0,0.0,0.0,0.0,0.288,0.236,0.276,0.2,0.046,0.0,0.954,0.0,0.006,0.0,0.994,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,945,1.0,0.0,0.0,0.0,0.284,0.212,0.23,0.274,0.066,0.0,0.0,0.934,0.014,0.0,0.0,0.986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,930,0.0,0.0,0.0,1.0,0.714,0.114,0.088,0.084,0.008,0.978,0.0,0.014,0.004,0.996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,837,0.0,1.0,0.0,0.0,0.242,0.268,0.236,0.254,0.0,0.69,0.0,0.31,0.0,0.342,0.0,0.658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,0.0,0.0,1.0,0.0,0.262,0.238,0.276,0.224,0.45,0.0,0.55,0.0,0.534,0.0,0.466,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
