,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
118,1258,0.024,0.02,0.856,0.1,0.232,0.216,0.272,0.28,0.264,0.212,0.264,0.26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1259,0.004,0.04,0.948,0.008,0.204,0.272,0.26,0.264,0.264,0.284,0.244,0.208,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,0.792,0.0,0.208,0.216,0.32,0.248,0.216,0.296,0.244,0.208,0.252,0.0,1.0,0.0,0.0,0.0,0.016,0.0,0.984,0.0,0.0,0.0,1.0
118,1167,0.996,0.0,0.004,0.0,0.288,0.236,0.248,0.228,0.264,0.248,0.276,0.212,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,1140,0.112,0.0,0.888,0.0,0.28,0.228,0.26,0.232,0.304,0.232,0.26,0.204,1.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,1.0,0.0
118,1131,0.0,0.0,1.0,0.0,0.272,0.244,0.28,0.204,0.292,0.236,0.248,0.224,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,963,0.016,0.0,0.984,0.0,0.292,0.22,0.264,0.224,0.236,0.2,0.324,0.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,945,0.024,0.0,0.0,0.976,0.316,0.212,0.232,0.24,0.32,0.192,0.252,0.236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,930,0.004,0.968,0.0,0.028,0.74,0.092,0.088,0.08,0.5,0.156,0.128,0.216,0.0,0.0,0.0,1.0,0.0,0.004,0.0,0.996,0.0,1.0,0.0,0.0
118,837,0.0,0.136,0.0,0.864,0.216,0.288,0.224,0.272,0.208,0.248,0.252,0.292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,828,0.94,0.0,0.06,0.0,0.212,0.268,0.28,0.24,0.22,0.288,0.256,0.236,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,0.58,0.0,0.42,0.256,0.28,0.224,0.24,0.236,0.256,0.204,0.304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,636,0.008,0.0,0.0,0.992,0.316,0.224,0.18,0.28,0.22,0.2,0.252,0.328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,627,0.0,0.528,0.472,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0
118,596,0.94,0.0,0.06,0.0,1.0,0.0,0.0,0.0,0.968,0.0,0.032,0.0,0.0,0.0,1.0,0.0,0.088,0.0,0.912,0.0,1.0,0.0,0.0,0.0
118,561,0.604,0.02,0.36,0.016,0.236,0.24,0.308,0.216,0.244,0.216,0.244,0.296,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,426,0.0,0.7,0.0,0.3,0.2,0.328,0.252,0.22,0.248,0.236,0.24,0.276,0.0,1.0,0.0,0.0,0.0,0.232,0.0,0.768,0.0,0.0,0.0,1.0
118,384,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,315,0.092,0.0,0.908,0.0,0.268,0.248,0.276,0.208,0.248,0.22,0.328,0.204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,291,0.0,0.68,0.0,0.32,0.224,0.284,0.264,0.228,0.2,0.336,0.18,0.284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
648,9682,0.0,0.112,0.0,0.888,0.0,1.0,0.0,0.0,0.0,0.972,0.0,0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
648,9751,0.028,0.0,0.0,0.972,0.272,0.232,0.212,0.284,0.26,0.208,0.26,0.272,0.968,0.0,0.0,0.032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
648,9817,0.0,0.932,0.0,0.068,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,9945,0.0,0.0,0.0,1.0,0.192,0.388,0.188,0.232,0.196,0.388,0.22,0.196,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
649,10173,0.0,0.508,0.0,0.492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10242,0.864,0.0,0.136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1417,0.276,0.276,0.232,0.216,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.22,0.264,0.268,0.248,0.0,0.0,0.516,0.484,0.0,0.0,0.352,0.648
1095,1402,0.284,0.26,0.22,0.236,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26,0.252,0.288,0.2,0.608,0.392,0.0,0.0,0.928,0.072,0.0,0.0
1095,1336,0.188,0.236,0.244,0.332,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.212,0.244,0.268,0.276,0.724,0.0,0.276,0.0,0.988,0.0,0.012,0.0
1095,1303,0.984,0.0,0.016,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1295,0.232,0.232,0.256,0.28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.284,0.236,0.264,0.216,0.88,0.0,0.12,0.0,1.0,0.0,0.0,0.0
1095,1261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1213,0.264,0.204,0.264,0.268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.272,0.228,0.22,0.28,0.0,0.412,0.0,0.588,0.0,0.088,0.0,0.912
1095,1198,0.224,0.248,0.28,0.248,1.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0,0.3,0.216,0.224,0.26,0.488,0.0,0.512,0.0,0.544,0.0,0.456,0.0
1095,1183,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1159,0.0,0.268,0.0,0.732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.732,0.0,0.268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1102,0.0,0.76,0.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.244,0.0,0.756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1072,0.82,0.004,0.0,0.176,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.188,0.0,0.0,0.812,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1098,3532,0.476,0.0,0.524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3346,0.0,0.0,0.304,0.696,0.0,0.0,1.0,0.0,0.0,0.0,0.316,0.684,0.0,0.0,0.0,1.0,0.0,0.0,0.672,0.328,0.0,0.0,1.0,0.0
1098,3306,0.064,0.0,0.936,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3259,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3253,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3247,0.0,0.004,0.0,0.996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1098,3100,0.0,0.004,0.62,0.376,0.3,0.204,0.244,0.252,0.228,0.284,0.232,0.256,0.0,0.0,1.0,0.0,0.0,0.0,0.552,0.448,0.0,0.0,0.0,1.0
1098,3097,0.004,0.692,0.0,0.304,0.236,0.26,0.22,0.284,0.24,0.292,0.236,0.232,0.0,1.0,0.0,0.0,0.0,0.46,0.0,0.54,0.0,0.004,0.0,0.996
1098,3094,0.0,0.264,0.012,0.724,0.224,0.276,0.268,0.232,0.244,0.244,0.264,0.248,0.0,0.0,0.0,1.0,0.0,0.64,0.0,0.36,0.0,1.0,0.0,0.0
1098,3082,0.076,0.0,0.916,0.008,0.248,0.216,0.288,0.248,0.268,0.292,0.248,0.192,0.0,0.0,1.0,0.0,0.992,0.0,0.008,0.0,1.0,0.0,0.0,0.0
1098,3064,0.0,0.0,0.024,0.976,0.288,0.188,0.276,0.248,0.224,0.256,0.252,0.268,0.0,0.0,0.0,1.0,0.0,0.0,0.992,0.008,0.0,0.0,1.0,0.0
1098,3058,0.008,0.0,0.992,0.0,0.268,0.24,0.272,0.22,0.236,0.256,0.228,0.28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1098,3000,0.752,0.0,0.248,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,2854,0.896,0.0,0.104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,2716,0.0,0.708,0.0,0.292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1099,4567,0.284,0.248,0.236,0.232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.248,0.272,0.232,0.248,0.388,0.004,0.0,0.608,0.688,0.0,0.0,0.312
1099,4561,0.888,0.112,0.0,0.0,0.272,0.284,0.224,0.22,0.268,0.248,0.3,0.184,0.02,0.98,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4504,1.0,0.0,0.0,0.0,0.288,0.252,0.188,0.272,0.248,0.312,0.22,0.22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4498,0.616,0.0,0.0,0.384,0.276,0.228,0.268,0.228,0.332,0.208,0.212,0.248,0.376,0.0,0.0,0.624,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4459,0.22,0.312,0.236,0.232,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.276,0.284,0.212,0.228,0.208,0.792,0.0,0.0,0.02,0.98,0.0,0.0
1099,4402,0.144,0.0,0.856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.86,0.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
