,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
118,1258,0.0,0.0,0.992,0.008,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
118,1259,0.0,0.002,0.998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1212,0.0,0.364,0.0,0.636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,1167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,1140,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,1131,0.054,0.0,0.946,0.0,0.944,0.0,0.056,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,963,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,945,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,930,0.0,0.952,0.0,0.048,0.0,0.046,0.0,0.954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,837,0.0,0.014,0.0,0.986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,828,0.994,0.0,0.006,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,663,0.0,0.322,0.0,0.678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
118,636,0.004,0.0,0.0,0.996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,627,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,596,1.0,0.0,0.0,0.0,0.444,0.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,561,0.788,0.002,0.204,0.006,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,426,0.002,0.81,0.0,0.188,0.0,0.03,0.0,0.97,0.0,0.008,0.0,0.992,0.0,1.0,0.0,0.0
118,384,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,291,0.0,0.988,0.0,0.012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9751,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
649,9945,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10173,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,10242,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.228,0.278,0.262,0.232
1095,1402,0.0,1.0,0.0,0.0,0.998,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.24,0.228,0.27,0.262
1095,1336,0.0,0.0,1.0,0.0,0.998,0.0,0.002,0.0,1.0,0.0,0.0,0.0,0.252,0.218,0.26,0.27
1095,1303,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1295,1.0,0.0,0.0,0.0,0.466,0.0,0.534,0.0,0.0,0.0,1.0,0.0,0.244,0.27,0.234,0.252
1095,1261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.024,0.0,0.0,0.976
1095,1213,0.0,0.0,0.0,1.0,0.0,0.954,0.0,0.046,0.0,1.0,0.0,0.0,0.228,0.254,0.266,0.252
1095,1198,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.292,0.234,0.234,0.24
1095,1183,1.0,0.0,0.0,0.0,0.0,0.002,0.0,0.998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095,1102,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.988,0.0,0.012
1095,1072,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1098,3532,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1098,3306,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3259,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3253,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1098,3247,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1098,3100,0.0,0.0,0.842,0.158,0.0,0.0,0.196,0.804,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1098,3097,0.0,0.866,0.0,0.134,0.0,0.148,0.0,0.852,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1098,3094,0.0,0.022,0.0,0.978,0.0,0.97,0.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1098,3082,0.152,0.0,0.848,0.0,0.99,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3064,0.0,0.002,0.056,0.942,0.0,0.0,0.996,0.004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1098,3058,0.014,0.0,0.986,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,2854,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,2716,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1099,4567,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.272,0.228
1099,4561,0.54,0.46,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.0,0.0
1099,4504,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1099,4498,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4459,0.0,1.0,0.0,0.0,0.896,0.104,0.0,0.0,1.0,0.0,0.0,0.0,0.252,0.266,0.224,0.258
1099,4402,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.964,0.0,0.036,0.0
1099,4327,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.998,0.0,0.0,1.0,0.0,0.23,0.268,0.26,0.242
1099,4285,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.27,0.282,0.228
1099,4264,0.0,0.0,0.998,0.002,0.014,0.0,0.0,0.986,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
