,Position,value
118,1279,0.0851063829787234
118,1268,0.18181818181818182
118,1258,0.23728813559322035
118,1259,0.13333333333333333
118,1212,0.45384615384615384
118,1167,0.41317365269461076
118,1140,0.41621621621621624
118,1131,0.43956043956043955
118,1086,0.3383838383838384
118,963,0.38636363636363635
118,945,0.38285714285714284
118,930,0.3742690058479532
118,837,0.39344262295081966
118,828,0.3482142857142857
118,815,0.21428571428571427
118,813,0.18518518518518517
118,809,0.21739130434782608
118,801,0.3333333333333333
118,663,0.2857142857142857
118,647,0.40860215053763443
118,636,0.2857142857142857
118,627,0.33766233766233766
118,596,0.3090909090909091
118,561,0.43243243243243246
118,525,0.35
118,516,0.21951219512195122
118,513,0.13793103448275862
118,501,0.13333333333333333
118,471,0.17857142857142858
118,426,0.40476190476190477
118,393,0.25773195876288657
118,390,0.25
118,389,0.24528301886792453
118,384,0.12096774193548387
118,315,0.3275862068965517
118,291,0.30526315789473685
648,9682,0.4147465437788018
648,9745,0.08421052631578947
648,9751,0.1111111111111111
648,9761,0.12903225806451613
648,9778,0.13402061855670103
648,9817,0.4820717131474104
649,9921,0.13636363636363635
649,9945,0.08247422680412371
649,9960,0.07446808510638298
649,10070,0.07575757575757576
649,10173,0.4711111111111111
649,10242,0.43162393162393164
649,10308,0.125
1095,1417,0.4246575342465753
1095,1402,0.45454545454545453
1095,1354,0.08695652173913043
1095,1336,0.43373493975903615
1095,1303,0.45394736842105265
1095,1295,0.39759036144578314
1095,1261,0.4788732394366197
1095,1213,0.4605263157894737
1095,1207,0.1276595744680851
1095,1198,0.44
1095,1183,0.12350597609561753
1095,1174,0.23529411764705882
1095,1165,0.2222222222222222
1095,1159,0.23076923076923078
1095,1117,0.1968503937007874
1095,1114,0.1732283464566929
1095,1111,0.3064516129032258
1095,1102,0.15789473684210525
1095,1072,0.234375
1098,3889,0.16417910447761194
1098,3883,0.15625
1098,3868,0.15254237288135594
1098,3532,0.4461538461538462
1098,3484,0.046511627906976744
1098,3346,0.49230769230769234
1098,3306,0.45454545454545453
1098,3259,0.46798029556650245
1098,3253,0.4682926829268293
1098,3247,0.45320197044334976
1098,3100,0.4520547945205479
1098,3097,0.4714285714285714
1098,3094,0.463768115942029
1098,3082,0.4878048780487805
1098,3064,0.45054945054945056
1098,3058,0.4148936170212766
1098,3000,0.45549738219895286
1098,2854,0.4439252336448598
1098,2716,0.4595744680851064
1098,2635,0.06779661016949153
1098,2597,0.18
1099,4567,0.4342105263157895
1099,4561,0.1650485436893204
1099,4504,0.10309278350515463
1099,4501,0.10309278350515463
1099,4498,0.12244897959183673
1099,4495,0.13402061855670103
1099,4459,0.43023255813953487
1099,4441,0.18461538461538463
1099,4414,0.38271604938271603
1099,4402,0.23703703703703705
1099,4399,0.09433962264150944
1099,4327,0.23880597014925373
1099,4297,0.16666666666666666
1099,4285,0.1
1099,4264,0.463302752293578
1099,4261,0.07017543859649122
1099,4258,0.06896551724137931
1099,4171,0.14893617021276595
1099,4168,0.16326530612244897
1099,4165,0.18
1102,5799,0.10144927536231885
1102,5800,0.08333333333333333
1102,5787,0.1282051282051282
1102,5784,0.14102564102564102
1102,5757,0.15037593984962405
1102,5706,0.3275862068965517
1102,5670,0.2564102564102564
1102,5646,0.07692307692307693
1102,5631,0.0625
1102,5621,0.06557377049180328
1103,6327,0.08928571428571429
1103,6312,0.06451612903225806
1103,6297,0.08333333333333333
1103,6291,0.4956896551724138
1103,6287,0.10714285714285714
1103,6243,0.3375
1103,6230,0.3855421686746988
1103,6216,0.4065934065934066
1103,6129,0.1
1103,6130,0.11764705882352941
1103,6101,0.18181818181818182
1103,6090,0.14634146341463414
1103,6091,0.168
1103,6055,0.08333333333333333
1103,5937,0.4371859296482412
1103,5880,0.49387755102040815
1103,5877,0.4959349593495935
1104,6734,0.23880597014925373
1104,6731,0.11711711711711711
1104,6724,0.19696969696969696
1104,6716,0.143646408839779
1104,6705,0.12244897959183673
1104,6650,0.11224489795918367
1104,6652,0.11
1104,6632,0.09278350515463918
1104,6629,0.10891089108910891
1104,6554,0.09322033898305085
1104,6548,0.06896551724137931
1104,6530,0.06557377049180328
1104,6518,0.35384615384615387
1104,6515,0.06153846153846154
1104,6503,0.38571428571428573
1104,6488,0.38666666666666666
1104,6470,0.49032258064516127
1104,6446,0.39473684210526316
1104,6425,0.46357615894039733
1104,6421,0.21153846153846154
1106,7629,0.11650485436893204
1106,7617,0.11224489795918367
1106,7590,0.08064516129032258
1106,7461,0.07692307692307693
1106,7452,0.13043478260869565
1106,7446,0.13432835820895522
1106,7416,0.19230769230769232
1106,7398,0.4825174825174825
1106,7395,0.08163265306122448
1106,7368,0.09433962264150944
1106,7359,0.42857142857142855
1106,7344,0.13793103448275862
1106,7317,0.48936170212765956
1106,7269,0.4835164835164835
1106,7257,0.4742268041237113
1106,7239,0.4166666666666667
1106,7189,0.34375
1106,7161,0.11538461538461539
1106,7163,0.11320754716981132
1107,7948,0.1282051282051282
1107,7950,0.1282051282051282
1107,7945,0.0975609756097561
1107,7936,0.07526881720430108
1107,7876,0.4166666666666667
1107,7870,0.4069264069264069
1107,7864,0.391304347826087
1107,7858,0.06
1107,7738,0.36909871244635195
1107,7732,0.08333333333333333
1107,7729,0.0851063829787234
1107,7705,0.051470588235294115
1108,8324,0.11504424778761062
1108,8318,0.06956521739130435
1108,8198,0.1320754716981132
1108,8111,0.2907801418439716
1108,8042,0.1
1108,8012,0.15789473684210525
1109,8628,0.4297520661157025
1109,8622,0.3286384976525822
1109,8616,0.36160714285714285
1109,8610,0.37554585152838427
1109,8576,0.3511111111111111
1111,9351,0.12359550561797752
1111,9291,0.3493975903614458
1111,9279,0.21019108280254778
1111,9234,0.08333333333333333
1111,9222,0.13829787234042554
1111,9219,0.08771929824561403
1111,9216,0.0847457627118644
1111,9204,0.18571428571428572
1111,9177,0.20987654320987653
1111,9099,0.09302325581395349
1111,9096,0.09302325581395349
1111,9094,0.09302325581395349
1111,9095,0.09302325581395349
1111,9081,0.4689265536723164
1111,9075,0.4166666666666667
1111,9069,0.43103448275862066
1111,9042,0.41818181818181815
1111,9021,0.4716981132075472
1112,10119,0.12790697674418605
1112,10118,0.12790697674418605
1112,9951,0.125
1112,9936,0.45714285714285713
1112,9840,0.20454545454545456
1112,9807,0.13043478260869565
1112,9789,0.44549763033175355
1112,9732,0.14
1112,9726,0.1509433962264151
1112,9690,0.16923076923076924
1112,9687,0.16923076923076924
1112,9657,0.19298245614035087
1113,10457,0.38524590163934425
1113,10424,0.1111111111111111
1113,10367,0.3401639344262295
1113,10346,0.4691358024691358
1113,10343,0.4268292682926829
1113,10337,0.4050632911392405
1113,10289,0.42528735632183906
1113,10283,0.4517766497461929
1113,10262,0.3548387096774194
1113,10208,0.34
1113,10205,0.476027397260274
1113,10169,0.4797297297297297
1114,10780,0.12096774193548387
1114,10759,0.05970149253731343
1114,10741,0.07692307692307693
1114,10693,0.4230769230769231
1114,10672,0.3854166666666667
1114,10663,0.38267148014440433
1114,10657,0.291970802919708
1114,10615,0.4536082474226804
1114,10588,0.13333333333333333
1114,10573,0.1
1114,10549,0.1875
1115,11629,0.40789473684210525
1115,11578,0.31343283582089554
1115,11577,0.30303030303030304
1115,11575,0.2878787878787879
1115,11576,0.29850746268656714
1115,11539,0.39436619718309857
1115,11485,0.4603174603174603
1115,11461,0.4482758620689655
1115,11451,0.35
1115,11448,0.2982456140350877
1115,11431,0.2222222222222222
1115,11413,0.125
1115,11407,0.35064935064935066
1115,11404,0.14285714285714285
1115,11398,0.4608695652173913
1115,11368,0.25217391304347825
1115,11314,0.125
1115,11313,0.125
1115,11293,0.08139534883720931
1115,11290,0.08333333333333333
1115,11233,0.09302325581395349
1115,11203,0.17037037037037037
1115,11197,0.13043478260869565
1115,11198,0.13043478260869565
1115,11194,0.125
1115,11188,0.3392857142857143
1115,11185,0.4838709677419355
1115,11110,0.31176470588235294
1115,11086,0.2616279069767442
1115,10948,0.3
1115,10945,0.29457364341085274
1115,10897,0.0821917808219178
1115,10885,0.06578947368421052
1116,11953,0.40186915887850466
1116,11939,0.38461538461538464
1116,11847,0.08620689655172414
1116,11841,0.1111111111111111
1116,11836,0.07272727272727272
1116,11781,0.32142857142857145
1116,11730,0.1452991452991453
1116,11717,0.44871794871794873
1117,12484,0.10810810810810811
1117,12409,0.1434108527131783
1117,12406,0.38613861386138615
1117,12385,0.40625
1117,12349,0.14166666666666666
1117,12337,0.41414141414141414
1117,12277,0.34831460674157305
1117,12268,0.34831460674157305
1117,12235,0.27906976744186046
1117,12220,0.47282608695652173
1117,12217,0.2594594594594595
1117,12197,0.14814814814814814
1117,12190,0.1625
1117,12142,0.17567567567567569
1117,12133,0.21212121212121213
1117,12113,0.25
1117,12100,0.23577235772357724
1117,12091,0.275
1117,12085,0.27848101265822783
1117,12070,0.2857142857142857
1117,12057,0.1951219512195122
1117,12052,0.11570247933884298
1117,12028,0.41203703703703703
1118,13236,0.3103448275862069
1118,13224,0.2222222222222222
1118,13212,0.22448979591836735
1118,13203,0.27450980392156865
1118,13202,0.27450980392156865
1118,13196,0.2765957446808511
1118,13191,0.2708333333333333
1118,13182,0.15
1118,13086,0.4642857142857143
1118,13002,0.13636363636363635
1118,12963,0.2937062937062937
1118,12930,0.4268292682926829
1118,12924,0.4177215189873418
1118,12925,0.08620689655172414
1118,12926,0.0847457627118644
1118,12921,0.27205882352941174
1118,12918,0.38461538461538464
1118,12852,0.09523809523809523
1118,12834,0.09836065573770492
1118,12819,0.07317073170731707
1118,12767,0.06349206349206349
1118,12753,0.40540540540540543
1118,12747,0.38961038961038963
1118,12743,0.4155844155844156
1118,12737,0.4177215189873418
1118,12693,0.09523809523809523
1118,12687,0.3684210526315789
1118,12654,0.30434782608695654
1118,12651,0.16279069767441862
1119,13574,0.463768115942029
1119,13552,0.11475409836065574
1119,13538,0.26618705035971224
1119,13475,0.136986301369863
1119,13454,0.26875
1119,13400,0.20930232558139536
1119,13367,0.37254901960784315
1119,13352,0.3473684210526316
1119,13343,0.21171171171171171
1119,13334,0.36082474226804123
1176,2020,0.4166666666666667
1176,2041,0.07272727272727272
1176,2044,0.07017543859649122
1176,2047,0.03389830508474576
1176,2065,0.06779661016949153
1176,2164,0.39520958083832336
1176,2224,0.23076923076923078
1176,2230,0.24034334763948498
1176,2302,0.35144927536231885
1176,2311,0.42424242424242425
1176,2365,0.392
1176,2380,0.3682008368200837
1177,2454,0.4367816091954023
1177,2461,0.2
1177,2467,0.3076923076923077
1177,2469,0.28125
1177,2475,0.410958904109589
1177,2478,0.3220338983050847
1177,2481,0.32075471698113206
1177,2486,0.12195121951219512
1177,2658,0.08888888888888889
1177,2667,0.16981132075471697
1177,2670,0.2037037037037037
1177,2676,0.47191011235955055
1177,2694,0.25
1177,2751,0.4342105263157895
1177,2772,0.12903225806451613
1177,2823,0.4
1543,1607,0.3333333333333333
1543,1610,0.2236842105263158
1543,1625,0.5
1543,1637,0.38461538461538464
1543,1770,0.19008264462809918
1543,2060,0.37142857142857144
1543,2066,0.31666666666666665
1543,2069,0.3114754098360656
1543,2072,0.34375
1543,2075,0.36231884057971014
1543,2230,0.023809523809523808
1543,2243,0.43434343434343436
1543,2315,0.4931506849315068
1543,2402,0.10909090909090909
1543,2403,0.10714285714285714
1543,2411,0.10714285714285714
1543,2412,0.06557377049180328
1543,2447,0.3737864077669903
1544,2487,0.08064516129032258
1544,2505,0.13934426229508196
1544,2525,0.07936507936507936
1544,2657,0.14516129032258066
1544,2660,0.4977168949771689
1544,2673,0.4433497536945813
1544,2675,0.385
1544,2708,0.4727272727272727
1544,2720,0.43434343434343436
2237,1460,0.4618834080717489
2237,1601,0.4444444444444444
2237,1634,0.29896907216494845
2237,1646,0.32323232323232326
2237,1742,0.40789473684210525
2237,1769,0.46875
2237,1820,0.4166666666666667
2237,2043,0.42857142857142855
2237,2045,0.4666666666666667
2237,2070,0.3181818181818182
2237,2162,0.36666666666666664
2237,2177,0.40601503759398494
2237,2237,0.38181818181818183
2237,2238,0.38461538461538464
2237,2259,0.35384615384615387
2237,2273,0.37142857142857144
2237,2289,0.05970149253731343
2237,2333,0.1111111111111111
2237,2336,0.10852713178294573
2237,2390,0.4659498207885305
2237,2393,0.4714285714285714
2237,2435,0.47058823529411764
2237,2462,0.4790996784565916
2237,2474,0.1232876712328767
2237,2477,0.46621621621621623
2237,2489,0.1
2237,2525,0.12244897959183673
2237,2531,0.1118421052631579
2237,2633,0.3433734939759036
2237,2714,0.32335329341317365
2237,2717,0.32142857142857145
2237,2726,0.3179190751445087
2237,2774,0.33783783783783783
2237,2794,0.4713656387665198
2237,2942,0.4538152610441767
2237,3005,0.37410071942446044
2237,3008,0.3684210526315789
2237,3154,0.1
2237,3164,0.4326923076923077
2237,3200,0.38961038961038963
2237,3203,0.49074074074074076
2237,3209,0.4909090909090909
2237,3212,0.49074074074074076
2237,3261,0.3867924528301887
2237,3444,0.4859437751004016
2237,3491,0.05063291139240506
2237,3620,0.4956140350877193
2237,3635,0.4727272727272727
2237,3638,0.481651376146789
2237,3644,0.4841628959276018
2237,3704,0.4444444444444444
2237,3872,0.11764705882352941
2237,3889,0.398576512455516
2237,3938,0.4749034749034749
2237,4061,0.47540983606557374
2237,4094,0.4840182648401826
2237,4113,0.4724770642201835
2237,4148,0.4811320754716981
2237,4157,0.4716981132075472
