,Position,value
118,1279,1.0
118,1268,0.4507389131201481
118,1258,0.0
118,1259,0.0
118,1212,0.0
118,1167,8.249314236995262e-06
118,1140,0.0
118,1131,0.0
118,1086,0.0042194430439845675
118,963,3.7113169680326663e-16
118,945,0.0
118,930,0.0
118,837,6.927791673660977e-14
118,828,2.934004812438218e-08
118,815,0.01884628073140954
118,813,0.3635247911644283
118,809,0.39248262367942127
118,801,0.03412951913708666
118,663,9.753297051192815e-05
118,647,0.0014334033350750152
118,636,0.0
118,627,0.0
118,596,2.1632229757484467e-08
118,561,1.0922350167165617e-09
118,525,0.4357460293862366
118,516,1.0
118,513,1.0
118,501,1.0
118,471,1.0
118,426,1.4550779186202118e-11
118,393,1.0
118,390,0.0038818592577464007
118,389,0.004261434153441268
118,384,0.0
118,315,2.60990824696675e-10
118,291,4.5335351292239576e-11
648,9682,0.0
648,9745,1.0
648,9751,9.405600662535293e-05
648,9761,1.0
648,9778,1.0
648,9817,0.0
649,9921,0.8547516946520889
649,9945,0.000624551983680345
649,9960,0.016105899373528958
649,10070,1.0
649,10173,0.0
649,10242,0.0
649,10308,0.002136389244472411
1095,1417,0.0
1095,1402,0.0
1095,1354,1.0
1095,1336,8.84304058550762e-11
1095,1303,0.0
1095,1295,8.15513350966726e-09
1095,1261,0.0
1095,1213,7.451760727460018e-13
1095,1207,1.0
1095,1198,3.4083695865660956e-10
1095,1183,7.31808979612075e-16
1095,1174,1.0
1095,1165,1.0
1095,1159,0.0001371561339349721
1095,1117,0.008356601203269842
1095,1114,0.32664185002541096
1095,1111,0.4319065093708144
1095,1102,1.0316527506484766e-12
1095,1072,0.0
1098,3889,0.6730287622045962
1098,3883,0.5438287159180937
1098,3868,1.0
1098,3532,0.0
1098,3484,1.0
1098,3346,0.0
1098,3306,1.1215819182488283e-09
1098,3259,5.418365197858659e-11
1098,3253,4.126119900294999e-11
1098,3247,0.0
1098,3100,0.0
1098,3097,1.5929363091740208e-13
1098,3094,5.694706611032123e-12
1098,3082,6.660444008402248e-14
1098,3064,0.0
1098,3058,7.472142904418889e-11
1098,3000,0.0
1098,2854,0.0
1098,2716,0.0
1098,2635,1.0
1098,2597,0.21750534093047552
1099,4567,0.0
1099,4561,0.0
1099,4504,0.0
1099,4501,1.0
1099,4498,1.6155193859090642e-05
1099,4495,1.0
1099,4459,0.0
1099,4441,0.09679043982652025
1099,4414,0.01333282263862314
1099,4402,0.0
1099,4399,1.0
1099,4327,0.0
1099,4297,1.0
1099,4285,1.2479012418004236e-10
1099,4264,0.0
1099,4261,1.0
1099,4258,1.0
1099,4171,1.0
1099,4168,0.38476308201074183
1099,4165,8.217874548303526e-06
1102,5799,1.0
1102,5800,1.0
1102,5787,5.7934340289756576e-05
1102,5784,0.5710398577674862
1102,5757,0.8138216953500436
1102,5706,1.3094118589407343e-08
1102,5670,1.037183002793053e-06
1102,5646,0.0025010177207506782
1102,5631,0.1531926638493231
1102,5621,0.11759078629320381
1103,6327,1.0
1103,6312,1.0
1103,6297,1.0
1103,6291,0.0
1103,6287,0.0016962419043428088
1103,6243,0.11638727990484582
1103,6230,0.0
1103,6216,4.5614610005850764e-10
1103,6129,1.0
1103,6130,1.0
1103,6101,1.0
1103,6090,0.3358435202419855
1103,6091,0.08789011190436141
1103,6055,1.0
1103,5937,0.0
1103,5880,0.0
1103,5877,0.0
1104,6734,0.012202032764530609
1104,6731,1.0
1104,6724,2.136071232937831e-08
1104,6716,1.5574702021897084e-12
1104,6705,3.602511392645722e-11
1104,6650,1.007058648064133e-05
1104,6652,7.384397537608046e-05
1104,6632,1.0
1104,6629,1.0
1104,6554,1.0
1104,6548,1.0
1104,6530,0.00019956280636692576
1104,6518,0.0
1104,6515,1.0
1104,6503,4.146050528968421e-07
1104,6488,1.397777049399702e-07
1104,6470,0.0
1104,6446,0.0
1104,6425,3.558797092634063e-15
1104,6421,0.0024575263939249116
1106,7629,1.0
1106,7617,1.0
1106,7590,1.0
1106,7461,1.0
1106,7452,3.7113169680326663e-16
1106,7446,1.0
1106,7416,0.01666610521186232
1106,7398,0.0
1106,7395,1.0
1106,7368,1.0
1106,7359,0.0
1106,7344,1.0
1106,7317,7.31808979612075e-16
1106,7269,0.0
1106,7257,3.9811258276911235e-06
1106,7239,3.6535391854743336e-11
1106,7189,3.230542326539849e-08
1106,7161,0.0037582842058362558
1106,7163,1.0
1107,7948,0.0052261205894321375
1107,7950,1.0
1107,7945,1.0
1107,7936,1.0
1107,7876,0.0
1107,7870,0.0
1107,7864,0.0
1107,7858,1.0
1107,7738,0.0
1107,7732,1.0
