,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
118,1258,0.21,0.224,0.286,0.28,0.002,0.0,0.438,0.56,0.004,0.002,0.528,0.466,0.0,0.0,1.0,0.0,0.04,0.056,0.804,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.226,0.23,0.266,0.278
118,1259,0.206,0.302,0.27,0.222,0.0,0.508,0.49,0.002,0.0,0.516,0.48,0.004,0.0,0.0,1.0,0.0,0.002,0.99,0.004,0.004,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.242,0.272,0.262,0.224
118,1212,0.162,0.336,0.114,0.388,0.0,0.664,0.0,0.336,0.0,0.65,0.0,0.35,0.0,0.0,0.0,1.0,0.0,0.522,0.0,0.478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26,0.262,0.246,0.232
118,1167,0.47,0.16,0.212,0.158,0.786,0.0,0.214,0.0,0.888,0.0,0.112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.282,0.0,0.718,0.0,0.234,0.252,0.272,0.242
118,1140,0.31,0.142,0.404,0.144,0.012,0.0,0.988,0.0,0.038,0.0,0.962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.262,0.226,0.234,0.278
118,1131,0.272,0.132,0.468,0.128,0.014,0.0,0.986,0.0,0.008,0.0,0.992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.258,0.284,0.238,0.22
118,963,0.262,0.144,0.442,0.152,0.082,0.0,0.918,0.0,0.068,0.0,0.932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.248,0.254,0.25,0.248
118,945,0.24,0.14,0.16,0.46,0.01,0.0,0.0,0.99,0.022,0.0,0.0,0.978,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.256,0.256,0.252,0.236
118,930,0.754,0.086,0.054,0.106,0.002,0.976,0.0,0.022,0.008,0.972,0.0,0.02,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.31,0.216,0.23,0.244
118,837,0.136,0.484,0.15,0.23,0.0,0.382,0.0,0.618,0.0,0.686,0.0,0.314,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.258,0.244,0.266,0.232
118,828,0.26,0.142,0.454,0.144,0.686,0.0,0.314,0.0,0.292,0.0,0.708,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.234,0.234,0.254,0.278
118,663,0.158,0.424,0.138,0.28,0.0,0.794,0.0,0.206,0.0,0.844,0.0,0.156,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.276,0.252,0.244,0.228
118,636,0.306,0.156,0.132,0.406,0.244,0.0,0.0,0.756,0.786,0.0,0.0,0.214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.214,0.296,0.248,0.242
118,627,0.128,0.52,0.184,0.168,0.0,0.942,0.058,0.0,0.0,1.0,0.0,0.0,0.0,0.048,0.952,0.0,0.0,0.994,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.998,0.002,0.0,0.0,1.0,0.0,0.0
118,596,0.158,0.142,0.558,0.142,0.086,0.0,0.914,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.878,0.0,0.122,0.0,1.0,0.0,0.0,0.0
118,561,0.312,0.214,0.264,0.21,0.306,0.0,0.692,0.002,0.464,0.004,0.526,0.006,1.0,0.0,0.0,0.0,0.968,0.008,0.022,0.002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.268,0.242,0.242,0.248
118,426,0.154,0.3,0.132,0.414,0.024,0.32,0.026,0.63,0.004,0.374,0.0,0.622,0.0,0.412,0.0,0.588,0.0,0.242,0.0,0.758,0.0,1.0,0.0,0.0,0.208,0.282,0.248,0.262,0.228,0.262,0.23,0.28
118,384,0.142,0.224,0.51,0.124,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,315,0.454,0.114,0.288,0.144,0.074,0.0,0.926,0.0,0.096,0.0,0.904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.25,0.216,0.234
118,291,0.13,0.274,0.136,0.46,0.0,0.84,0.0,0.16,0.0,0.67,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.248,0.264,0.254,0.234
648,9682,0.16,0.188,0.116,0.536,0.0,0.87,0.0,0.13,0.0,1.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.016,0.0,0.984,0.0,0.0,0.0,1.0,0.0,0.364,0.0,0.636,0.0,1.0,0.0,0.0
