# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	unfiltered_reads	unfiltered_priority_reads	mean_insert_distance	mean_PID	mean_mistmaches	pass_min_read_ani	unfiltered_singletons	filtered_priority_reads	pass_min_insert	pass_min_mapq	unfiltered_pairs	mean_pair_length	pass_max_insert	mean_mapq_score	filtered_singletons	median_insert
all_scaffolds	649344	647734	1428573	0	171.9613240439582	0.9933492071713566	1.4581593115513505	649282.0	129885	0	649344.0	647836.0	649344	219.39232825744136	649297.0	39.80431789621526	0	163.57880876700173
NORP83_1	1375	1375	3035	0	168.56	0.9937154885639358	1.3789090909090909	1375.0	285	0	1375.0	1375.0	1375	219.20945454545452	1375.0	39.79272727272728	0	161.0
NORP83_2	1245	1245	2863	0	171.06104417670682	0.9893937658072648	2.3196787148594376	1245.0	373	0	1245.0	1245.0	1245	219.2032128514056	1245.0	38.856224899598395	0	160.0
NORP83_4	1025	1024	2288	0	172.8760975609756	0.9911251318130844	1.9570731707317075	1024.0	238	0	1025.0	1025.0	1025	220.80487804878052	1025.0	41.095609756097566	0	165.0
NORP83_6	1074	1073	2599	0	167.16201117318437	0.9886793909855768	2.4608938547486034	1073.0	451	0	1074.0	1074.0	1074	217.98975791433887	1074.0	40.156424581005595	0	158.5
NORP83_14	493	493	1396	0	162.33062880324542	0.979882851190462	4.399594320486815	493.0	410	0	493.0	493.0	493	219.0324543610548	493.0	37.27586206896552	0	154.0
NORP83_8	1167	1162	2582	0	171.50814053127678	0.9957283247201272	0.9237360754070264	1167.0	248	0	1167.0	1162.0	1167	218.43016281062557	1167.0	36.078834618680375	0	162.0
NORP83_12	1291	1290	2862	0	172.15879163439197	0.991761367946004	1.801704105344694	1290.0	280	0	1291.0	1291.0	1291	219.2362509682417	1291.0	41.478698683191325	0	164.0
NORP83_3	4395	4394	9460	0	173.4910125142207	0.994612332904886	1.1804323094425484	4395.0	670	0	4395.0	4395.0	4395	219.03003412969284	4394.0	41.43117178612059	0	164.0
NORP83_16	923	923	2186	0	171.77139761646802	0.9878135847516892	2.6738894907908994	923.0	340	0	923.0	923.0	923	219.10942578548213	923.0	39.68797399783315	0	162.0
NORP83_13	1388	1388	2994	0	173.7665706051873	0.9952060002405622	1.0554755043227666	1388.0	218	0	1388.0	1388.0	1388	220.2240634005764	1388.0	41.77161383285303	0	164.0
NORP83_18	896	896	1990	0	172.52120535714286	0.9946653582485568	1.1707589285714286	896.0	198	0	896.0	896.0	896	219.8080357142857	896.0	37.109375	0	161.0
NORP83_10	2365	2364	5160	0	172.2862579281184	0.9922973621335492	1.6828752642706128	2365.0	430	0	2365.0	2364.0	2365	218.62706131078224	2365.0	41.58181818181818	0	164.0
NORP83_15	2040	2039	4362	0	171.03039215686275	0.9964230161306296	0.7872549019607843	2040.0	282	0	2040.0	2040.0	2040	220.5450980392157	2039.0	38.57450980392157	0	164.0
NORP83_17	1467	1466	3350	0	169.48534423994548	0.9887719860539947	2.481935923653715	1466.0	416	0	1467.0	1467.0	1467	220.34151329243355	1467.0	40.522835719154735	0	160.0
NORP83_11	3104	3102	6670	0	172.69007731958763	0.993429161865418	1.4497422680412366	3104.0	462	0	3104.0	3102.0	3104	219.7928479381443	3104.0	40.64819587628866	0	164.0
NORP83_23	1724	1724	3697	0	173.3404872389791	0.998850400764562	0.2540603248259861	1724.0	249	0	1724.0	1724.0	1724	220.04176334106728	1724.0	41.998839907192576	0	165.0
NORP83_25	1263	1263	2754	0	173.80601741884402	0.9904047084714857	2.11243072050673	1263.0	228	0	1263.0	1263.0	1263	219.38004750593825	1263.0	40.91923990498813	0	166.0
NORP83_21	945	945	2062	0	174.87301587301587	0.9947170147562692	1.1629629629629628	945.0	172	0	945.0	945.0	945	220.2116402116402	945.0	36.026455026455025	0	167.0
NORP83_22	1209	1208	2623	0	174.33664185277092	0.9948256579461584	1.1364764267990075	1209.0	205	0	1209.0	1208.0	1209	218.92224979321753	1209.0	41.137303556658395	0	167.0
NORP83_28	1181	1173	2787	0	170.79593564775615	0.9848264961743454	3.333615580016935	1179.0	425	0	1181.0	1176.0	1181	219.80355630821342	1180.0	34.60118543607113	0	162.0
NORP83_9	4338	4337	9392	0	172.35892116182572	0.9958125299208862	0.9213923467035501	4338.0	716	0	4338.0	4337.0	4338	219.54426002766246	4338.0	39.285154449054865	0	164.0
NORP83_7	5175	5053	11117	0	172.37526570048308	0.9921174722187236	1.7273429951690822	5174.0	767	0	5175.0	5056.0	5175	219.37835748792267	5173.0	36.818164251207726	0	164.0
NORP83_27	1078	1078	2393	0	172.66975881261595	0.9919372196521704	1.7782931354359923	1078.0	237	0	1078.0	1078.0	1078	219.35528756957328	1078.0	40.895176252319104	0	165.0
NORP83_33	806	806	1792	0	167.68362282878408	0.9954792053421246	0.9962779156327544	806.0	180	0	806.0	806.0	806	219.15260545905707	806.0	41.73697270471464	0	162.0
NORP83_26	2870	2869	6331	0	172.002787456446	0.9907169776353684	2.033797909407665	2870.0	591	0	2870.0	2869.0	2870	219.2881533101045	2870.0	39.817421602787455	0	165.0
NORP83_24	1846	1837	4255	0	173.24972914409534	0.9902979229969544	2.1137594799566632	1845.0	563	0	1846.0	1839.0	1846	218.3336944745396	1845.0	38.30660888407368	0	164.0
NORP83_5	5545	5539	11983	0	170.6869251577998	0.9968792847753511	0.6840396753832282	5545.0	893	0	5545.0	5539.0	5545	219.7107303877367	5545.0	41.21623083859333	0	162.0
