Contig,Position,s82A_T1_SORTED_FILTERED-A,s82A_T1_SORTED_FILTERED-C,s82A_T1_SORTED_FILTERED-G,s82A_T1_SORTED_FILTERED-T,s82A_T2_SORTED_FILTERED-A,s82A_T2_SORTED_FILTERED-C,s82A_T2_SORTED_FILTERED-G,s82A_T2_SORTED_FILTERED-T,s82A_T3_SORTED_FILTERED-A,s82A_T3_SORTED_FILTERED-C,s82A_T3_SORTED_FILTERED-G,s82A_T3_SORTED_FILTERED-T,s82A_T4_SORTED_FILTERED-A,s82A_T4_SORTED_FILTERED-C,s82A_T4_SORTED_FILTERED-G,s82A_T4_SORTED_FILTERED-T,s82A_T5_SORTED_FILTERED-A,s82A_T5_SORTED_FILTERED-C,s82A_T5_SORTED_FILTERED-G,s82A_T5_SORTED_FILTERED-T,s82A_T6_SORTED_FILTERED-A,s82A_T6_SORTED_FILTERED-C,s82A_T6_SORTED_FILTERED-G,s82A_T6_SORTED_FILTERED-T,s82A_T7_SORTED_FILTERED-A,s82A_T7_SORTED_FILTERED-C,s82A_T7_SORTED_FILTERED-G,s82A_T7_SORTED_FILTERED-T,s82A_T8_SORTED_FILTERED-A,s82A_T8_SORTED_FILTERED-C,s82A_T8_SORTED_FILTERED-G,s82A_T8_SORTED_FILTERED-T
118,1279,0,0,0,0,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1268,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1258,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0
118,1259,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0
118,1212,0,41,0,4,0,0,0,0,0,0,0,0,0,12,0,28,0,0,0,0,0,6,0,39,0,0,0,0,0,0,0,0
118,1167,6,0,68,0,0,0,0,0,0,0,0,0,34,0,21,0,0,0,0,0,29,0,9,0,0,0,0,0,0,0,0,0
118,1140,72,0,8,0,0,0,0,0,0,0,0,0,22,0,36,0,0,0,0,0,14,0,33,0,0,0,0,0,0,0,0,0
118,1131,68,0,6,0,0,0,0,0,0,0,0,0,21,0,40,0,0,0,0,0,13,0,34,0,0,0,0,0,0,0,0,0
118,1086,4,0,70,0,0,0,0,0,0,0,0,0,37,0,30,0,10,0,4,0,26,0,30,1,0,0,0,0,0,0,0,0
118,963,71,0,3,0,0,0,0,0,0,0,0,0,16,0,33,0,0,0,0,0,21,0,32,0,0,0,0,0,0,0,0,0
118,945,73,0,0,3,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,0,19,0,0,32,0,0,0,0,0,0,0,0
118,930,0,2,0,75,0,0,0,0,0,0,0,0,1,31,0,19,0,0,0,0,0,31,0,12,0,0,0,0,0,0,0,0
118,837,0,36,0,5,0,0,0,0,0,0,0,0,0,8,0,30,0,0,0,0,0,4,0,39,0,0,0,0,0,0,0,0
118,828,5,0,29,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,39,0,4,0,0,0,0,0,0,0,0,0
118,815,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,1,28,0,8,0,0,0,0,0,0,0,0
118,813,0,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,809,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,801,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,663,0,10,0,5,0,0,0,0,0,0,0,0,0,7,0,23,0,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0
118,647,19,0,3,0,0,0,0,0,0,0,0,0,9,0,22,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0
118,636,21,0,0,7,0,0,0,0,0,0,0,0,4,0,0,29,0,0,0,0,5,0,0,39,0,0,0,0,0,0,0,0
118,627,0,6,30,0,0,0,0,0,0,44,4,0,0,24,8,0,0,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0
118,596,7,0,30,0,0,0,0,0,48,0,4,0,34,0,8,0,0,0,0,0,25,0,9,0,0,0,0,0,0,0,0,0
118,561,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,0,0,0,0,0,0,0
118,525,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,516,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0
118,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0
118,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0
118,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0,0,0,0,0,0,0
118,426,0,39,0,5,0,0,0,0,0,0,0,0,0,11,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,393,2,0,54,0,0,0,0,0,0,0,0,0,23,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,390,57,0,2,0,0,0,0,0,0,0,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,389,60,0,2,0,0,0,0,0,0,0,0,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,384,0,0,0,0,0,0,0,0,0,44,5,0,0,40,6,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0
118,315,84,0,3,0,0,0,0,0,0,0,0,0,26,0,34,0,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0
118,291,0,4,0,94,0,0,0,0,0,0,0,0,0,28,0,24,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0
648,9682,0,3,0,80,0,0,0,0,0,44,0,10,0,11,0,22,0,0,0,0,0,32,0,15,0,0,0,0,0,0,0,0
648,9745,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,4,0,51,0,0,0,0,0,0,0,0
648,9751,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,7,0,0,0,0,52,0,0,4,0,0,0,0,0,0,0,0
648,9761,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,0,0,0,0,0,4,0,49,0,0,0,0,0,0,0,0
648,9778,0,0,0,0,0,0,0,0,0,0,0,0,38,1,9,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0
648,9817,0,9,0,73,0,0,0,0,0,52,0,6,0,34,0,23,0,0,0,0,0,35,0,19,0,0,0,0,0,0,0,0
