,Position,value
118,1279,1.0
118,1268,0.3322754808257502
118,1258,0.0
118,1259,0.0
118,1212,0.0
118,1167,4.107030378674992e-06
118,1140,0.0
118,1131,0.0
118,1086,0.002533469007178768
118,963,1.1102230246251565e-16
118,945,0.0
118,930,0.0
118,837,2.220446049250313e-14
118,828,1.316540620965867e-08
118,815,0.012322568170537007
118,813,0.26176892013335973
118,809,0.2859755869117151
118,801,0.022607160112172786
118,663,5.251775335257669e-05
118,647,0.0008239006349042288
118,636,0.0
118,627,0.0
118,596,9.614324336659763e-09
118,561,4.574317591377053e-10
118,525,0.32029195322407134
118,516,1.0
118,513,1.0
118,501,1.0
118,471,1.0
118,426,5.347722265014454e-12
118,393,0.8627491584692748
118,390,0.002322479897796992
118,389,0.002567787246304354
118,384,0.0
118,315,1.0484246804054465e-10
118,291,1.7146062347705993e-11
648,9682,0.0
648,9745,1.0
648,9751,5.0444567655905104e-05
648,9761,0.8127618731022136
648,9778,1.0
648,9817,0.0
649,9921,0.6629804811083511
649,9945,0.0003496423498381418
649,9960,0.01042753741491298
649,10070,1.0
649,10173,0.0
649,10242,0.0
649,10308,0.001246227059275573
1095,1417,0.0
1095,1402,0.0
1095,1354,1.0
1095,1336,3.423950012404475e-11
1095,1303,0.0
1095,1295,3.554801786265216e-09
1095,1261,0.0
1095,1213,2.5157653738006047e-13
1095,1207,1.0
1095,1198,1.3837397894178594e-10
1095,1183,2.220446049250313e-16
1095,1174,1.0
1095,1165,1.0
1095,1159,7.44330276709615e-05
1095,1117,0.005245789222675712
1095,1114,0.2331161921121523
1095,1111,0.3165468647739088
1095,1102,3.504974088741619e-13
1095,1072,0.0
1098,3889,0.5076477629449198
1098,3883,0.4043854554262748
1098,3868,1.0
1098,3532,0.0
1098,3484,1.0
1098,3346,0.0
1098,3306,4.745154269514273e-10
1098,3259,2.0724089111467947e-11
1098,3253,1.55170321036735e-11
1098,3247,0.0
1098,3100,0.0
1098,3097,5.1736392947532295e-14
1098,3094,2.0442536552423007e-12
1098,3082,2.120525977034049e-14
1098,3064,0.0
1098,3058,2.8739011170841877e-11
1098,3000,0.0
1098,2854,0.0
1098,2716,0.0
1098,2635,1.0
1098,2597,0.15383390565809274
1099,4567,0.0
1099,4561,0.0
1099,4504,0.0
1099,4501,1.0
1099,4498,8.181155864539491e-06
1099,4495,1.0
1099,4459,0.0
1099,4441,0.06659513167551179
1099,4414,0.008546681178604576
1099,4402,0.0
1099,4399,1.0
1099,4327,0.0
1099,4297,1.0
1099,4285,4.9329429430144955e-11
1099,4264,0.0
1099,4261,1.0
1099,4258,1.0
1099,4171,0.7935813703833731
1099,4168,0.2787065914564989
1099,4165,4.0619023613519545e-06
1102,5799,1.0
1102,5800,1.0
1102,5787,3.0700248700554766e-05
1102,5784,0.4258395520531041
