scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	consensus_divergent_sites	population_divergent_sites
NORP83_113	8360	73.50777511961721	0.9998803827751196	0.003077878535232781	75	15.093605440498564	0.16508812322770752	0.9907894736842106	1.0	0.0	0.0030044535182507377	0.0	0.9454545454545454	0.9954122902330074	0.996861040685742	26	19	45	38	26
NORP83_114	13225	70.46336483931947	0.9997731568998108	0.0035874423746208306	72	13.194323406387177	0.11473758499898234	0.9947826086956522	1.0	0.0	0.003417264778943219	0.0	0.9293761814744802	0.9950592885375494	0.9971115840681058	38	49	87	65	38
NORP83_115	7336	66.39626499454744	0.9974100327153762	0.003662649973156129	73	25.08911341606022	0.29294443731588315	0.8953107960741549	1.0	0.0	0.003331914989951445	0.0	0.8200654307524536	0.9934531059683313	0.9957369062119368	28	17	45	43	28
NORP83_116	3447	59.10095735422106	0.99796924862199	0.0059926526221502074	68	26.109157320360307	0.4447697259324358	0.8981723237597912	1.0	0.0	0.0044493294030441	0.0	0.6704380620829707	0.9893410852713178	0.9948320413436692	16	32	48	33	16
NORP83_117	8025	63.78093457943925	0.9912772585669782	0.003228132703314124	68	20.09437820047271	0.22432574148562376	0.9419314641744548	1.0	0.0	0.0031062293996159123	0.0	0.8281619937694704	0.9943114168540812	0.9957666357983861	32	21	53	43	32
NORP83_118	4027	63.93965731313633	0.9577849515768562	0.0040293834580285015	72	29.598305379409428	0.466476705713019	0.8557238639185498	1.0	0.0	0.0035659434003304518	0.0	0.7437298236900919	0.991874637260592	0.9944863609982588	19	12	31	28	19
NORP83_119	5506	66.30675626589175	0.9987286596440248	0.004687958547671235	74	22.717939487308726	0.30618948813255153	0.9416999636759898	1.0	0.0	0.0036036480766857846	0.0	0.796585543043952	0.9903567984570878	0.99672131147541	17	39	56	50	17
NORP83_12	4556	65.5155838454785	0.998902546093064	0.004408471881985565	74	24.218396010965208	0.35884027902310817	0.9141791044776121	1.0	0.0	0.003978034802254893	0.0	0.7594381035996488	0.9896758703481392	0.9939975990396158	25	22	47	43	25
NORP83_120	3561	44.643358607132825	0.9997191800056164	0.005390573834950896	48	23.14884177312058	0.3879754695987693	0.7933164841336703	1.0	0.0	0.003948611241799793	0.0	0.48525695029486104	0.9865486725663716	0.9939823008849558	17	25	42	38	17
NORP83_121	3273	50.411243507485494	1.0	0.005352450494736094	53	22.88999494746685	0.4001649525008169	0.8686220592728384	1.0	0.0	0.003831397942317461	0.0	0.5682859761686526	0.9912064720365812	0.9975378121702428	7	30	37	25	7
NORP83_122	3697	77.33621855558559	0.999729510413849	0.00460481795577794	80	18.782794458920954	0.30895428625819993	0.9764674060048688	1.0	0.0	0.004534875763986368	0.0	0.935352988909927	0.9966759002770084	0.9988919667590028	4	25	29	12	4
NORP83_123	7672	54.06360792492179	0.9044577685088634	0.004593861972643998	67	34.491390470624104	0.39380816045363015	0.7361835245046924	1.0	0.0	0.004051295039847025	0.0	0.6240875912408759	0.9907932011331444	0.9962818696883852	21	46	67	52	21
NORP83_124	12432	70.73946267696267	1.0	0.0036300516278562345	73	14.607986478360155	0.1310199185058754	0.9843146718146718	1.0	0.0	0.0036639793228162576	0.0	0.9278474903474904	0.9934624499468824	0.9946065212061779	66	29	95	80	66
NORP83_125	3590	60.36434540389972	0.9997214484679666	0.0053021406721438505	63	22.816779220270014	0.3808619712935893	0.9161559888579388	1.0	0.0	0.004427864540653359	0.0	0.7317548746518105	0.986013986013986	0.9890544238370326	36	21	57	46	36
NORP83_126	3257	65.22290451335584	0.999692968989868	0.0032550125014223497	70	18.256859456130226	0.3199512963939291	0.9502609763586122	1.0	0.0	0.002857677137538817	0.0	0.8538532391771569	0.9954765751211632	0.9967689822294022	10	4	14	14	10
NORP83_127	4268	60.94798500468603	0.9983598875351452	0.004456607713408278	65	19.374342523965847	0.2965962474704987	0.936738519212746	1.0	0.0	0.004726854519810808	0.0	0.7738987816307404	0.9922461230615308	0.9954977488744372	18	21	39	31	18
NORP83_128	3666	51.103655210038184	1.0	0.0055951616331322285	55	28.761072542347808	0.4750814660623587	0.7965084560829242	1.0	0.0	0.00360416676849129	0.0	0.5237315875613748	0.9897260273972602	0.996917808219178	9	33	42	30	9
NORP83_129	6132	52.016144814090026	0.987279843444227	0.005391900804678773	59	26.346075390166785	0.3364730401484709	0.8149054142204827	1.0	0.0	0.004674579916881916	0.0	0.6210045662100456	0.9829897938763258	0.9887932759655792	56	39	95	85	56
NORP83_13	4643	67.97953909110488	0.9976308421279344	0.0050309237249933645	77	26.63776141158237	0.3909715505551136	0.8778806805944432	1.0	0.0	0.004564458592457021	0.0	0.8192978677579151	0.9865063788027478	0.9926398429833171	30	32	62	55	30
NORP83_130	3239	68.00030873726459	0.998147576412473	0.004404151974628845	67	18.939358220620168	0.3328333499724957	0.97005248533498	1.0	0.0	0.004511989174491915	0.0	0.8987341772151899	0.9917250159134309	0.9958625079567156	13	19	32	26	13
NORP83_24	8542	63.350269257785065	0.9992975883867946	0.004486717207645263	66	15.15390487203232	0.16397218947657788	0.9859517677358932	1.0	0.0	0.0039083008895677285	0.0	0.8405525638023882	0.9925195915459509	0.996081690809784	33	42	75	63	33
NORP83_240	5660	61.15229681978799	1.0	0.00413276211071234	65	19.660217585316907	0.2613475739832518	0.932155477031802	1.0	0.0	0.0035928541779366436	0.0	0.8307420494699647	0.9886277482941622	0.9924184988627748	40	25	65	60	40
NORP83_241	3390	68.32094395280237	0.9238938053097344	0.002682489918281461	78	29.20865235782508	0.5017365455074523	0.8657817109144543	1.0	0.0	0.002712097437619021	0.0	0.824188790560472	0.9979557069846678	0.9979557069846678	6	1	7	6	6
NORP83_242	4814	27.580805982550892	0.9987536352305776	0.006397913333163641	11	29.24966689370613	0.4216120294597376	0.3379725799750727	0.9999999999734992	0.0	0.00456055369756625	0.0	0.2401329455754051	0.9858635525507068	0.9987707437000616	2	25	27	23	2
NORP83_243	3976	72.99597585513078	0.999748490945674	0.005065941585996382	82	26.743471417980253	0.42417904831274206	0.9076961770623744	1.0	0.0	0.004378807317333533	0.0	0.8307344064386318	0.9900249376558604	0.9961208090883902	14	27	41	36	14
NORP83_244	3650	68.46520547945205	1.0	0.0030096075835936986	75	21.705185802273217	0.3593160164072959	0.95013698630137	1.0	0.0	0.002634788374947461	0.0	0.8410958904109589	0.9945213379469436	0.9953863898500576	16	4	20	19	16
NORP83_245	3833	56.42160187842421	0.9890425254369946	0.005129942359140882	67	27.61737133430274	0.4461383832963764	0.8257239759979128	1.0	0.0	0.0043446678190364185	0.0	0.6751891468823376	0.9921011058451816	0.9971563981042654	8	22	30	25	9
NORP83_246	22552	52.3438719404044	0.9451046470379568	0.0037140750365474147	66	30.71856297804129	0.20455871786350646	0.7447676481021639	1.0	0.0	0.0032441741038975462	0.0	0.6777669386307201	0.9916646820671589	0.9945225053584188	92	67	159	140	92
NORP83_247	8135	74.52059004302397	0.9995082974800246	0.004086590783804689	76	21.907702409235053	0.24290963917065256	0.9677934849416104	1.0	0.0	0.0037422432625787705	0.0	0.8866625691456669	0.99517337736568	0.9977137050679538	18	29	47	38	18
NORP83_248	3753	64.90594191313616	0.998134825472955	0.0037824251462998952	70	20.831463049512312	0.34008568968444425	0.9288569144684252	1.0	0.0	0.003250859656041549	0.0	0.8214761524114043	0.9965576592082616	0.997991967871486	7	14	21	12	7
NORP83_249	8393	69.82044560943643	0.9992851185511736	0.004434462958810226	75	22.02857240242892	0.24046596460734146	0.9453115691647802	1.0	0.0	0.003487650644074858	0.0	0.850947217919695	0.9930678094277792	0.9971010839425258	23	41	64	55	23
NORP83_25	5300	62.87735849056603	1.0	0.0042703613069606785	66	17.670208822050764	0.2427418861470367	0.9828301886792452	1.0	0.0	0.003541551278566701	0.0	0.7760377358490566	0.9934728354770588	0.9963524668842388	19	24	43	34	19
NORP83_250	4464	54.88888888888889	0.9997759856630823	0.003879887529368409	63	27.159709878806073	0.4065478634707228	0.8026433691756273	1.0	0.0	0.0037905828788714624	0.0	0.6803315412186379	0.9893943622662572	0.9921853195646106	28	11	39	38	28
NORP83_251	7155	59.826974143955276	0.9948287910552062	0.004803137411694025	67	22.62188137577785	0.2674571748265427	0.8957372466806429	1.0	0.0	0.0039787650129863295	0.0	0.7740041928721174	0.9881416757684506	0.9940708378842252	38	45	83	76	38
NORP83_252	7149	60.38914533501189	0.9998601202965448	0.005125477224567354	73	32.94423497705248	0.3896611922465974	0.7906000839278221	1.0	0.0	0.004223406038234234	0.0	0.6932438103231221	0.9874380750176928	0.994338287331918	32	42	74	71	32
NORP83_253	6846	62.60035056967572	0.999707858603564	0.005338884660108012	72	25.319802494450183	0.3060367543484289	0.8802220274612913	1.0	0.0	0.0038430681850399892	0.0	0.7617586912065439	0.9898771988051775	0.9958513109857284	25	45	70	61	25
NORP83_254	4185	61.27765830346475	0.9956989247311828	0.003851178960966095	68	21.172474641608428	0.3273224426540259	0.9201911589008364	1.0	0.0	0.003889836142208836	0.0	0.8016726403823178	0.992988834069073	0.9945468709426124	21	14	35	27	21
NORP83_255	5668	67.86115031757235	0.9998235709244884	0.004438993168372153	70	15.719453610869055	0.20881459013986226	0.9858856739590685	1.0	0.0	0.003735010929043936	0.0	0.8974947071277346	0.9915891195418756	0.9964209019327128	20	42	62	47	20
NORP83_1	4659	74.43013522215068	0.9995707233311868	0.003823986649513223	79	18.272460409160498	0.26773015379690057	0.970165271517493	1.0	0.0	0.003655579242539786	0.0	0.9098518995492596	0.9960176991150442	0.997566371681416	11	23	34	18	11
NORP83_10	8332	79.35981757081133	0.9998799807969276	0.0038749497623471454	80	15.705887431620262	0.17207346861086753	0.985117618819011	1.0	0.0	0.0036034575160338593	0.0	0.9581132981277004	0.9942738791423	0.9964668615984406	29	30	59	47	29
NORP83_100	12058	67.61121247304693	0.997097362746724	0.003955712653152643	71	19.989193804972942	0.1820436976445488	0.9486647868634932	1.0	0.0	0.0040317018886646405	0.0	0.8810748051086416	0.9942302648832941	0.9959786694641141	46	43	89	66	46
NORP83_101	19219	67.30329361569281	0.9724751547947345	0.003458469654005758	71	19.311957946599048	0.13930676673871598	0.9500494302513138	1.0	0.0	0.003401171072305531	0.0	0.8887038867787086	0.9963305767019004	0.9980283695711704	36	53	89	67	36
