,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
118,1258,0.24,0.24,0.3,0.22,0.0,0.0,0.0,1.0,0.2,0.3,0.24,0.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18,0.12,0.46,0.24
118,1259,0.16,0.3,0.26,0.28,0.0,0.0,1.0,0.0,0.4,0.18,0.18,0.24,0.0,0.0,1.0,0.0,0.0,0.06,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.96,0.04,0.0,0.1,0.68,0.16,0.06
118,1212,0.18,0.32,0.18,0.32,0.0,1.0,0.0,0.0,0.2,0.34,0.26,0.2,0.0,0.0,0.0,1.0,0.0,0.46,0.0,0.54,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,0.0,0.7,0.0,0.3
118,1167,0.3,0.16,0.2,0.34,0.0,0.0,1.0,0.0,0.24,0.32,0.24,0.2,1.0,0.0,0.0,0.0,0.16,0.0,0.84,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.56,0.0,0.44,0.0
118,1140,0.28,0.12,0.42,0.18,1.0,0.0,0.0,0.0,0.42,0.16,0.26,0.16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.96,0.0,0.94,0.0,0.06,0.0
118,1131,0.4,0.2,0.18,0.22,1.0,0.0,0.0,0.0,0.34,0.3,0.16,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,963,0.36,0.22,0.22,0.2,1.0,0.0,0.0,0.0,0.28,0.18,0.32,0.22,0.0,0.0,1.0,0.0,0.04,0.0,0.96,0.0,1.0,0.0,0.0,0.0,0.66,0.0,0.34,0.0,0.06,0.0,0.94,0.0
118,945,0.4,0.2,0.18,0.22,1.0,0.0,0.0,0.0,0.24,0.26,0.22,0.28,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.88,1.0,0.0,0.0,0.0,0.42,0.0,0.0,0.58,0.06,0.0,0.0,0.94
118,930,0.32,0.2,0.16,0.32,0.0,0.0,0.0,1.0,0.8,0.12,0.04,0.04,0.0,1.0,0.0,0.0,0.0,0.16,0.0,0.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6
118,837,0.2,0.32,0.18,0.3,0.0,1.0,0.0,0.0,0.3,0.2,0.26,0.24,0.0,0.0,0.0,1.0,0.0,0.94,0.0,0.06,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0.94,0.0,0.12,0.0,0.88
118,828,0.3,0.16,0.28,0.26,0.0,0.0,1.0,0.0,0.24,0.24,0.2,0.32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.96,0.0,0.04,0.0
118,663,0.16,0.34,0.28,0.22,0.0,1.0,0.0,0.0,0.36,0.16,0.18,0.3,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.7,0.0,0.16,0.0,0.84
118,636,0.16,0.2,0.3,0.34,1.0,0.0,0.0,0.0,0.22,0.16,0.3,0.32,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.98
