gene_callers_id	source	accession	function	e_value
2657	KeggGhostKoala	K11605	 sitC; manganese/iron transport system permease protein	0
2531	KeggGhostKoala	K01256	 pepN; aminopeptidase N [EC:3.4.11.2]	0
374	KeggGhostKoala	K02025	 ABC.MS.P; multiple sugar transport system permease protein	0
977	KeggGhostKoala	K21405	 acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR	0
1117	KeggGhostKoala	K02926	 RP-L4, MRPL4, rplD; large subunit ribosomal protein L4	0
480	KeggGhostKoala	K04042	 glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	0
1527	KeggGhostKoala	K17237	 inoE; inositol-phosphate transport system substrate-binding protein	0
2538	KeggGhostKoala	K04085	 tusA, sirA; tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]	0
309	KeggGhostKoala	K00064	 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	0
894	KeggGhostKoala	K03414	 cheZ; chemotaxis protein CheZ	0
1152	KeggGhostKoala	K01997	 livH; branched-chain amino acid transport system permease protein	0
1070	KeggGhostKoala	K07114	 yfbK; Ca-activated chloride channel homolog	0
219	KeggGhostKoala	K00276	 AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]	0
201	KeggGhostKoala	K02026	 ABC.MS.P1; multiple sugar transport system permease protein	0
1813	KeggGhostKoala	K02044	 phnD; phosphonate transport system substrate-binding protein	0
893	KeggGhostKoala	K05939	 aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	0
1406	KeggGhostKoala	K00075	 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0
1556	KeggGhostKoala	K01996	 livF; branched-chain amino acid transport system ATP-binding protein	0
1133	KeggGhostKoala	K02379	 fdhD; FdhD protein	0
1781	KeggGhostKoala	K05788	 ihfB, himD; integration host factor subunit beta	0
91	KeggGhostKoala	K02016	 ABC.FEV.S; iron complex transport system substrate-binding protein	0
921	KeggGhostKoala	K04047	 dps; starvation-inducible DNA-binding protein	0
746	KeggGhostKoala	K01784	 galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	0
77	KeggGhostKoala	K02033	 ABC.PE.P; peptide/nickel transport system permease protein	0
760	KeggGhostKoala	K17316	 gtsB, glcF; glucose/mannose transport system permease protein	0
2238	KeggGhostKoala	K00035	 gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	0
1190	KeggGhostKoala	K02029	 ABC.PA.P; polar amino acid transport system permease protein	0
1051	KeggGhostKoala	K02027	 ABC.MS.S; multiple sugar transport system substrate-binding protein	0
553	KeggGhostKoala	K00626	 E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	0
2472	KeggGhostKoala	K01711	 gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	0
349	KeggGhostKoala	K01649	 leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	0
728	KeggGhostKoala	K07397	 yhfA; putative redox protein	0
1338	KeggGhostKoala	K10559	 rhaS; rhamnose transport system substrate-binding protein	0
727	KeggGhostKoala	K01262	 pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]	0
543	KeggGhostKoala	K07483	 K07483; transposase	0
1387	KeggGhostKoala	K02280	 cpaC, rcpA; pilus assembly protein CpaC	0
178	KeggGhostKoala	K00873	 PK, pyk; pyruvate kinase [EC:2.7.1.40]	0
125	KeggGhostKoala	K10112	 msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein	0
11	KeggGhostKoala	K00253	 IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	0
2497	KeggGhostKoala	K18893	 vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump	0
1662	KeggGhostKoala	K00526	 E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	0
2419	KeggGhostKoala	K02110	 ATPF0C, atpE; F-type H+-transporting ATPase subunit c	0
1714	KeggGhostKoala	K00655	 plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	0
436	KeggGhostKoala	K00228	 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	0
320	KeggGhostKoala	K04755	 fdx; ferredoxin, 2Fe-2S	0
2502	KeggGhostKoala	K02025	 ABC.MS.P; multiple sugar transport system permease protein	0
1375	KeggGhostKoala	K02529	 lacI, galR; LacI family transcriptional regulator	0
1976	KeggGhostKoala	K10439	 rbsB; ribose transport system substrate-binding protein	0
557	KeggGhostKoala	K10189	 lacF, araP; lactose/L-arabinose transport system permease protein	0
1271	KeggGhostKoala	K03406	 mcp; methyl-accepting chemotaxis protein	0
1710	KeggGhostKoala	K07729	 K07729; putative transcriptional regulator	0
676	KeggGhostKoala	K00942	 E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]	0
2089	KeggGhostKoala	K02033	 ABC.PE.P; peptide/nickel transport system permease protein	0
2277	KeggGhostKoala	K01434	 E3.5.1.11; penicillin amidase [EC:3.5.1.11]	0
2126	KeggGhostKoala	K01872	 AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]	0
2280	KeggGhostKoala	K03321	 TC.SULP; sulfate permease, SulP family	0
