,Position,0,1,2,3,4,5,6,7,8,9,10,11
118,1258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.004,0.0,0.996,0.0
118,1259,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,1212,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.996
118,1167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.972,0.0,0.028,0.0
118,1140,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.024,0.0,0.976,0.0
118,1131,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.016,0.0,0.984,0.0
118,963,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.104,0.0,0.896,0.0
118,945,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.124,0.0,0.0,0.876
118,930,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.92,0.0,0.06
118,837,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,636,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,627,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,596,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
118,561,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.984,0.0,0.008,0.008
118,426,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.012,0.08,0.012,0.896
118,384,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,315,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.18,0.0,0.82,0.0
118,291,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.572,0.0,0.428
648,9682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
648,9751,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
648,9817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649,9945,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10173,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
649,10242,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1095,1417,0.0,0.0,1.0,0.0,0.0,0.0,0.328,0.672,0.0,0.0,0.0,1.0
1095,1402,0.0,1.0,0.0,0.0,0.428,0.572,0.0,0.0,1.0,0.0,0.0,0.0
1095,1336,0.0,0.0,1.0,0.0,0.512,0.0,0.488,0.0,1.0,0.0,0.0,0.0
1095,1303,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1095,1295,0.0,0.0,1.0,0.0,0.812,0.0,0.188,0.0,1.0,0.0,0.0,0.0
1095,1261,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1095,1213,0.0,1.0,0.0,0.0,0.0,0.672,0.0,0.328,0.0,0.0,0.0,1.0
1095,1198,0.0,0.0,1.0,0.0,0.46,0.0,0.54,0.0,1.0,0.0,0.0,0.0
1095,1183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1095,1102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1095,1072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1098,3532,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1098,3306,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3259,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3253,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3247,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1098,3100,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.008,0.008,0.264,0.72
1098,3097,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.012,0.292,0.004,0.692
1098,3094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.776,0.012,0.212
1098,3082,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.964,0.004,0.032,0.0
1098,3064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.992,0.008
1098,3058,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.984,0.0,0.016,0.0
1098,3000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
